순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 4위,004960,한신공영,7.0,71.0점,20.0,16.0,12.0,8.0,15.0,63.0,66.2점 (확정),43.5,📈 매집 유지 (상승),-496,1871,10962,10960,-0.9,657.8,6.0,10960,0,9970,🆕 신규설정,9970,OFF (조건미충족),9970,ON (상시감시),OFF (알림전용),12940,ON (상시감시),OFF (알림전용),20509902,20506160,-3742,-0.02,100.0,⚠️ CHO 유출 (확정 4위 / 45m 자금유출)
확정 6위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,33.0,56.2점 (확정),25.9,📈 매집 유지 (상승),7371,989,4745,2665,-2.02,620.8,23.29,2665,0,2265,🆕 신규설정,2040,OFF (조건미충족),2265,ON (상시감시),OFF (알림전용),3200,ON (상시감시),OFF (알림전용),4692805,2635685,-2057120,-43.84,100.0,🎯 펀더멘탈유지/기술꺾임 (차익실현/익절)
확정 3위,055490,테이팩스,21.4,91.0점,20.0,20.0,16.0,20.0,15.0,52.0,67.6점 (확정),51.0,📈 매집 유지 (상승),-105,4283,23364,14590,2.96,3246.1,22.25,14590,0,12400,🆕 신규설정,11340,OFF (조건미충족),12400,ON (상시감시),OFF (알림전용),17510,ON (상시감시),OFF (알림전용),100068012,62488970,-37579042,-37.55,100.0,⚠️ CHO 유출 (확정 3위 / 45m 자금유출)
확정 7위,140670,알에스오토메이션,2.0,47.0점,5.0,16.0,4.0,16.0,6.0,60.0,54.8점 (확정),33.2,📈 매집 유지 (상승),368,531,18899,10860,0.93,2860.6,26.34,10860,0,9230,🆕 신규설정,7990,OFF (조건미충족),9230,ON (상시감시),OFF (알림전용),13040,ON (상시감시),OFF (알림전용),10035369,5766660,-4268709,-42.54,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
ETF 2위,161510,PLUS 고배당주,2.1,ETF 제외,-,-,-,-,-,64.0,64.0점 (ETF T점수 100%),28.3,📈 매집 유지 (상승),-7892,250,28186,24930,-0.06,757.3,3.04,24930,0,23400,🆕 신규설정,23750,OFF (조건미충족),23400,ON (상시감시),OFF (알림전용),27250,ON (상시감시),OFF (알림전용),7046500,6232500,-814000,-11.55,100.0,⚠️ CHO 유출 (ETF 2위 / 45m 자금유출)
확정 2위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,51.0,70.6점 (확정),33.9,📈 매집 유지 (상승),-938,293,15716,8950,-0.11,1899.0,21.22,8950,0,7600,🆕 신규설정,7050,OFF (조건미충족),7600,ON (상시감시),OFF (알림전용),10740,ON (상시감시),OFF (알림전용),4604788,2622350,-1982438,-43.05,100.0,⚠️ CHO 유출 (확정 2위 / 45m 자금유출)
확정 8위,234920,자이글,17.0,27.0점,5.0,4.0,4.0,8.0,6.0,73.0,54.6점 (확정),0.0,데이터 미수집,0,9314,7517,5310,0.0,5252.2,98.91,5310,0,4510,🆕 신규설정,57,OFF (조건미충족),4510,ON (상시감시),OFF (알림전용),6380,ON (상시감시),OFF (알림전용),70013338,49457340,-20555998,-29.36,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
확정 5위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,49.0,63.0점 (확정),27.9,📈 매집 유지 (상승),-2571,115,17995,8670,4.71,3260.9,37.61,8670,0,7360,🆕 신규설정,5400,OFF (조건미충족),7360,ON (상시감시),OFF (알림전용),10410,ON (상시감시),OFF (알림전용),2069425,997050,-1072375,-51.82,100.0,⚠️ CHO 유출 (확정 5위 / 45m 자금유출)
확정 1위,267260,HD현대일렉트릭,1.1,92.0점,25.0,20.0,20.0,12.0,15.0,67.0,77.0점 (확정),48.6,📈 매집 유지 (상승),-750,4,745000,786000,0.51,53869.5,6.85,786000,0,705000,🆕 신규설정,705000,OFF (조건미충족),705000,ON (상시감시),OFF (알림전용),948000,ON (상시감시),OFF (알림전용),2980000,3144000,164000,5.5,100.0,🟢 확정 1위 (안정 보유/홀딩)
잠정 1위,348340,뉴로메카,0.9,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,48.0,38.0점 (잠정·재무검증 필요),47.0,📈 매집 유지 (상승),-184,124,80329,21500,4.37,17890.5,83.21,21500,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2666000,-7294796,-73.24,75.0,⚠️ DART 재무 미확정 (추매금지/재수집필요)
