순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 4위,004960,한신공영,7.1,71.0점,20.0,16.0,12.0,8.0,15.0,63.0,66.2점 (확정),43.5,📉 OBV(9) 데드크로스 (이탈),-494,1871,10962,11000,-0.54,657.8,5.98,11000,0,10010,🆕 신규설정,10010,OFF (조건미충족),10010,ON (상시감시),OFF (알림전용),12980,ON (상시감시),OFF (알림전용),20509902,20581000,71098,0.35,100.0,🚨 단기 매도 (확정 4위 / OBV이탈·CHO유출)
확정 6위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,33.0,56.2점 (확정),26.8,📉 OBV(9) 데드크로스 (이탈),4411,989,4745,2650,-2.57,621.9,23.47,2650,0,2250,🆕 신규설정,2025,OFF (조건미충족),2250,ON (상시감시),OFF (알림전용),3180,ON (상시감시),OFF (알림전용),4692805,2620850,-2071955,-44.15,100.0,⚠️ OBV 이탈 (확정 6위 / 45m OBV 데드)
확정 3위,055490,테이팩스,21.3,91.0점,20.0,20.0,16.0,20.0,15.0,52.0,67.6점 (확정),51.0,📉 OBV(9) 데드크로스 (이탈),-126,4283,23364,14470,2.12,3246.1,22.43,14470,0,12290,🆕 신규설정,11220,OFF (조건미충족),12290,ON (상시감시),OFF (알림전용),17370,ON (상시감시),OFF (알림전용),100068012,61975010,-38093002,-38.07,100.0,⚠️ 비중과다(21.3%) + 🚨 이중수급이탈 (추매금지/보유)
확정 7위,140670,알에스오토메이션,2.0,47.0점,5.0,16.0,4.0,16.0,6.0,60.0,54.8점 (확정),33.2,📈 OBV(9) 매집 유지 (상승),364,531,18899,10810,0.46,2860.6,26.46,10810,0,9180,🆕 신규설정,7940,OFF (조건미충족),9180,ON (상시감시),OFF (알림전용),12980,ON (상시감시),OFF (알림전용),10035369,5740110,-4295259,-42.8,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
ETF 2위,161510,PLUS 고배당주,2.1,ETF 제외,-,-,-,-,-,72.0,72.0점 (ETF T점수 100%),27.3,📉 OBV(9) 데드크로스 (이탈),-10059,250,28186,25000,0.22,757.3,3.03,25000,0,23500,🆕 신규설정,23850,OFF (조건미충족),23500,ON (상시감시),OFF (알림전용),27300,ON (상시감시),OFF (알림전용),7046500,6250000,-796500,-11.3,100.0,🚨 단기 매도 (ETF 2위 / OBV이탈·CHO유출)
확정 2위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,53.0,71.8점 (확정),34.0,📈 OBV(9) 매집 유지 (상승),-1591,293,15716,8960,0.0,1899.0,21.19,8960,0,7610,🆕 신규설정,7060,OFF (조건미충족),7610,ON (상시감시),OFF (알림전용),10760,ON (상시감시),OFF (알림전용),4604788,2625280,-1979508,-42.99,100.0,⚠️ CHO 유출 (확정 2위 / 45m 자금유출)
확정 8위,234920,자이글,17.0,27.0점,5.0,4.0,4.0,8.0,6.0,73.0,54.6점 (확정),0.0,데이터 대기,0,9314,7517,5310,0.0,5252.2,98.91,5310,0,4510,🆕 신규설정,57,OFF (조건미충족),4510,ON (상시감시),OFF (알림전용),6380,ON (상시감시),OFF (알림전용),70013338,49457340,-20555998,-29.36,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
확정 5위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,49.0,63.0점 (확정),27.9,📈 OBV(9) 매집 유지 (상승),-3312,115,17995,8690,4.95,3260.9,37.52,8690,0,7380,🆕 신규설정,5420,OFF (조건미충족),7380,ON (상시감시),OFF (알림전용),10430,ON (상시감시),OFF (알림전용),2069425,999350,-1070075,-51.71,100.0,🎯 차익실현 + ⚠️ CHO유출 (확정 5위)
확정 1위,267260,HD현대일렉트릭,1.1,92.0점,25.0,20.0,20.0,12.0,15.0,67.0,77.0점 (확정),47.2,📈 OBV(9) 매집 유지 (상승),-944,4,745000,788000,0.77,53869.5,6.84,788000,0,707000,🆕 신규설정,707000,OFF (조건미충족),707000,ON (상시감시),OFF (알림전용),950000,ON (상시감시),OFF (알림전용),2980000,3152000,172000,5.77,100.0,🟢 확정 1위 (안정 보유/홀딩)
잠정 1위,348340,뉴로메카,0.9,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,48.0,38.0점 (잠정·재무검증 필요),47.0,📈 OBV(9) 매집 유지 (상승),-427,124,80329,21400,3.88,17890.5,83.6,21400,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2653600,-7307196,-73.36,75.0,⚠️ DART 재무 미확정 (추매금지/재수집필요)
