순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 8위,000490,대동,0.3,56.0점,20.0,4.0,16.0,4.0,12.0,68.0,63.2점 (확정),100,9800,7800,0.0,1040.7,13.34,7800,0,5719,🆕 신규설정,6230,OFF (조건미충족),5710,ON (상시감시),OFF (알림전용),10410,ON (상시감시),OFF (알림전용),980000,780000,-200000,-20.41,100.0,🔄 확정 8위 펀더멘탈중립/기술반등 (안정홀딩/상승시 축소)
확정 11위,011700,한신기계,0.7,39.0점,5.0,4.0,4.0,20.0,6.0,53.0,47.4점 (확정),769,4282,2575,-0.96,1392.2,54.07,2575,0,0,🆕 신규설정,486,OFF (조건미충족),0,ON (상시감시),OFF (알림전용),6060,ON (상시감시),OFF (알림전용),3292858,1980175,-1312683,-39.86,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
확정 3위,013030,하이록코리아,1.1,91.0점,20.0,16.0,20.0,20.0,15.0,67.0,76.6점 (확정),90,38945,34650,-0.72,3382.0,9.76,34650,0,27886,🆕 신규설정,29550,OFF (조건미충족),27850,ON (상시감시),OFF (알림전용),43150,ON (상시감시),OFF (알림전용),3505050,3118500,-386550,-11.03,100.0,🟢 확정 3위 (안정 보유/홀딩)
확정 1위,034020,두산에너빌리티,0.7,73.0점,10.0,20.0,16.0,12.0,15.0,81.0,77.8점 (확정),27,74800,77900,-2.5,4915.0,6.31,77900,0,68070,🆕 신규설정,70500,OFF (조건미충족),68000,ON (상시감시),OFF (알림전용),90200,ON (상시감시),OFF (알림전용),2019600,2103300,83700,4.14,100.0,🟢 확정 1위 (안정 보유/홀딩)
확정 2위,047050,포스코인터내셔널,3.1,78.0점,15.0,20.0,16.0,12.0,15.0,77.0,77.4점 (확정),158,62806,56100,-1.06,4235.5,7.55,56100,0,47629,🆕 신규설정,49700,OFF (조건미충족),47600,ON (상시감시),OFF (알림전용),66700,ON (상시감시),OFF (알림전용),9923348,8863800,-1059548,-10.68,100.0,🟢 확정 2위 (안정 보유/홀딩)
확정 7위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,49.0,65.8점 (확정),989,4745,2705,0.56,708.8,26.2,2705,0,1287,🆕 신규설정,1641,OFF (조건미충족),1287,ON (상시감시),OFF (알림전용),4480,ON (상시감시),OFF (알림전용),4692805,2675245,-2017560,-42.99,100.0,🎯 펀더멘탈유지/기술꺾임 (차익실현/익절)
확정 6위,055490,테이팩스,21.0,91.0점,20.0,20.0,16.0,20.0,15.0,55.0,69.4점 (확정),4283,23365,14050,0.72,3732.7,26.57,14050,0,6585,🆕 신규설정,8450,OFF (조건미충족),6580,ON (상시감시),OFF (알림전용),23400,ON (상시감시),OFF (알림전용),100072295,60176150,-39896145,-39.87,100.0,⚠️ 비중과다(21.0%) 집중위험 (추매금지/보유)
확정 10위,140670,알에스오토메이션,2.0,47.0점,5.0,16.0,4.0,16.0,6.0,69.0,60.2점 (확정),531,18899,10780,0.19,3143.4,29.16,10780,0,4493,🆕 신규설정,6060,OFF (조건미충족),4490,ON (상시감시),OFF (알림전용),18640,ON (상시감시),OFF (알림전용),10035369,5724180,-4311189,-42.96,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
ETF 3위,088500,PLUS 고배당주,2.2,ETF 제외,-,-,-,-,-,30.0,30.0점 (ETF T점수 100%),250,28186,25100,-1.18,335.0,1.33,25100,0,24430,🆕 신규설정,24550,OFF (조건미충족),24400,ON (상시감시),OFF (알림전용),25950,ON (상시감시),OFF (알림전용),7046500,6275000,-771500,-10.95,100.0,🚨 ETF 기술추세 약세 (손절/비중축소 검토)
확정 5위,206650,유바이오로직스,1.3,100.0점,25.0,20.0,20.0,20.0,15.0,53.0,71.8점 (확정),418,15717,9120,-0.33,2171.0,23.8,9120,0,4778,🆕 신규설정,5860,OFF (조건미충족),4775,ON (상시감시),OFF (알림전용),14550,ON (상시감시),OFF (알림전용),6569706,3812160,-2757546,-41.97,100.0,🟢 확정 5위 (안정 보유/홀딩)
