종목코드,종목명,매매신호,추천금액(만원),1. F점수조건(>=65),2. T점수조건(>=60),3. 계좌비중조건(<=20%),4. 재무완성도조건(>=90%),5. 악재공시뉴스조건,6. 3일수급쌍쓸이조건,최종 추매승인 여부,기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수,종합점수,현재가(원),당일등락률(%),14일 ATR(원),손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,데이터완성도(%),분석근거
241520,DSC인베스트먼트,관망,0,PASS,FAIL,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),84.0,25.0,4.0,20.0,20.0,15.0,44.0,60.0,8510,2.78,3260.9,1988,ON (상시감시),OFF (알림전용),16670,ON (상시감시),OFF (알림전용),100.0,일목 4등급(8점: 구름대 하회) / VWAP 4등급(6점: 단기 이탈) / 볼밴 4등급(6점: 중심선 하회) / DMI 2등급(12점: DI+ 우위) / OBV 4등급(4점: OBV 9일 이평 하회) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
267260,HD현대일렉트릭,관망,0,PASS,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),92.0,25.0,20.0,20.0,12.0,15.0,67.0,77.0,782000,0.0,53869.5,674000,ON (상시감시),OFF (알림전용),917000,ON (상시감시),OFF (알림전용),100.0,일목 3등급(12점: 구름대 내부 혼조) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 2등급(12점: DI+ 우위) / OBV 2등급(8점: OBV 9일 이평 상회) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
348340,뉴로메카,관망,0,FAIL,FAIL,PASS (미보유 0%),FAIL,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),23.0점 (잠정),5.0,4.0,4.0,4.0,6.0,41.0,33.8,21500,4.37,17890.5,0,ON (상시감시),OFF (알림전용),66300,ON (상시감시),OFF (알림전용),75.0,일목 4등급(8점: 구름대 하회) / VWAP 5등급(3점: 역배열 지속) / 볼밴 4등급(6점: 중심선 하회) / DMI 2등급(12점: DI+ 우위) / OBV 4등급(4점: OBV 9일 이평 하회) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
371460,TIGER 차이나전기차SOLACTIVE,관망,0,ETF 제외(PASS),FAIL,PASS (미보유 0%),ETF 제외(PASS),UNCONFIRMED(FAIL),FAIL,금지(조건미충족),ETF 제외,-,-,-,-,-,46.0,46.0,10980,0.09,785.3,9400,ON (상시감시),OFF (알림전용),12950,ON (상시감시),OFF (알림전용),100.0,일목 4등급(8점: 구름대 하회) / VWAP 5등급(3점: 역배열 지속) / 볼밴 4등급(6점: 중심선 하회) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 4등급(4점: OBV 9일 이평 하회) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
484730,RISE 미국AI밸류체인TOP3Plus,관망,0,ETF 제외(PASS),FAIL,PASS (미보유 0%),ETF 제외(PASS),UNCONFIRMED(FAIL),FAIL,금지(조건미충족),ETF 제외,-,-,-,-,-,33.0,33.0,14650,-0.68,192.1,14260,ON (상시감시),OFF (알림전용),15130,ON (상시감시),OFF (알림전용),100.0,일목 4등급(8점: 구름대 하회) / VWAP 5등급(3점: 역배열 지속) / 볼밴 5등급(3점: 하한선 이탈 하방 확장) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 5등급(2점: OBV 9일 이평 하회 & 연속 유출) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
000490,대동,관망,0,FAIL,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),56.0,20.0,4.0,16.0,4.0,12.0,77.0,68.6,8560,10.45,1065.0,6430,ON (상시감시),OFF (알림전용),11230,ON (상시감시),OFF (알림전용),100.0,일목 1등급(20점: 구름대 상회 & 호전) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 2등급(12점: DI+ 우위) / OBV 1등급(10점: OBV 9일 이평 상회 & 우상향) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
004960,한신공영,관망,0,PASS,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),71.0,20.0,16.0,12.0,8.0,15.0,69.0,69.8,11030,-0.27,657.8,9710,ON (상시감시),OFF (알림전용),12680,ON (상시감시),OFF (알림전용),100.0,일목 1등급(20점: 구름대 상회 & 호전) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 2등급(12점: DI+ 우위) / OBV 5등급(2점: OBV 9일 이평 하회 & 연속 유출) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
161510,PLUS 고배당주,관망,0,ETF 제외(PASS),PASS,PASS (미보유 0%),ETF 제외(PASS),UNCONFIRMED(FAIL),FAIL,금지(조건미충족),ETF 제외,-,-,-,-,-,76.0,76.0,25095,0.6,757.3,23550,ON (상시감시),OFF (알림전용),27000,ON (상시감시),OFF (알림전용),100.0,일목 1등급(20점: 구름대 상회 & 호전) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 5등급(3점: DI- 우위 및 강한 하락추세) / OBV 1등급(10점: OBV 9일 이평 상회 & 우상향) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
234920,자이글,관망,0,FAIL,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),27.0,5.0,4.0,4.0,8.0,6.0,66.0,50.4,5310,0.0,5252.2,0,ON (상시감시),OFF (알림전용),18440,ON (상시감시),OFF (알림전용),100.0,일목 2등급(16점: 구름대 상회) / VWAP 2등급(12점: 단기 VWAP 상회) / 볼밴 1등급(15점: 상한선 돌파 상방 밴드위드 확장) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 4등급(4점: OBV 9일 이평 하회) / 채킨 4등급(4점: 매도세 우위) / 수급 4등급(6점: 수급 약세 지속)
490590,RISE 미국AI밸류체인데일리고정커버드콜,관망,0,ETF 제외(PASS),PASS,PASS (미보유 0%),ETF 제외(PASS),UNCONFIRMED(FAIL),FAIL,금지(조건미충족),ETF 제외,-,-,-,-,-,80.0,80.0,14820,1.09,429.1,13960,ON (상시감시),OFF (알림전용),15900,ON (상시감시),OFF (알림전용),100.0,일목 3등급(12점: 구름대 내부 혼조) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 1등급(15점: DI+ 우위 및 강한 추세) / OBV 1등급(10점: OBV 9일 이평 상회 & 우상향) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
207940,삼성바이오로직스,관망,0,PASS,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),100.0,25.0,20.0,20.0,20.0,15.0,88.0,92.8,1559000,0.65,68874.4,1421000,ON (상시감시),OFF (알림전용),1732000,ON (상시감시),OFF (알림전용),100.0,일목 1등급(20점: 구름대 상회 & 호전) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 1등급(15점: DI+ 우위 및 강한 추세) / OBV 1등급(10점: OBV 9일 이평 상회 & 우상향) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
214450,파마리서치,관망,0,PASS,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),100.0,25.0,20.0,20.0,20.0,15.0,91.0,94.6,421500,3.31,31877.6,357500,ON (상시감시),OFF (알림전용),502000,ON (상시감시),OFF (알림전용),100.0,일목 1등급(20점: 구름대 상회 & 호전) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 1등급(15점: 상한선 돌파 상방 밴드위드 확장) / DMI 1등급(15점: DI+ 우위 및 강한 추세) / OBV 1등급(10점: OBV 9일 이평 상회 & 우상향) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
010140,삼성중공업,관망,0,PASS,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),75.0,20.0,20.0,16.0,4.0,15.0,65.0,69.0,21850,0.46,1234.9,19380,ON (상시감시),OFF (알림전용),24950,ON (상시감시),OFF (알림전용),100.0,일목 3등급(12점: 구름대 내부 혼조) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 4등급(6점: DI- 우위 하락세) / OBV 4등급(4점: OBV 9일 이평 하회) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
010120,010120,관망,0,PASS,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),78.0,15.0,20.0,16.0,12.0,15.0,80.0,79.2,212500,1.92,17902.3,176600,ON (상시감시),OFF (알림전용),257500,ON (상시감시),OFF (알림전용),100.0,일목 1등급(20점: 구름대 상회 & 호전) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 1등급(10점: OBV 9일 이평 상회 & 우상향) / 채킨 2등급(8점: 매수세 우위) / 수급 4등급(6점: 수급 약세 지속)
