순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 11위,011700,한신기계,0.7,39.0점,5.0,4.0,4.0,20.0,6.0,47.0,43.8점 (확정),769,4282,2575,-0.96,1057.1,41.05,2575,461,461,유지,989,OFF (조건미충족),460,ON (상시감시),OFF (알림전용),5220,ON (상시감시),OFF (알림전용),3292858,1980175,-1312683,-39.86,100.0,🚨 펀더멘탈/기술 동시약세 (실질 손절/비중축소)
확정 2위,013030,하이록코리아,1.1,91.0점,20.0,16.0,20.0,20.0,15.0,71.0,79.0점 (확정),90,38945,34650,-0.72,2993.0,8.64,34650,28664,28664,유지,30150,OFF (조건미충족),28650,ON (상시감시),OFF (알림전용),42150,ON (상시감시),OFF (알림전용),3505050,3118500,-386550,-11.03,100.0,🟢 확정 2위 (안정 보유/홀딩)
확정 1위,034020,두산에너빌리티,0.7,73.0점,10.0,20.0,16.0,12.0,15.0,87.0,81.4점 (확정),27,74800,77900,-2.5,4872.6,6.25,77900,68155,68155,유지,70500,OFF (조건미충족),68100,ON (상시감시),OFF (알림전용),90100,ON (상시감시),OFF (알림전용),2019600,2103300,83700,4.14,100.0,🟢 확정 1위 (안정 보유/홀딩)
확정 6위,047050,포스코인터내셔널,3.1,78.0점,15.0,20.0,16.0,12.0,15.0,64.0,69.6점 (확정),158,62806,56100,-1.06,4417.0,7.87,56100,47266,47266,유지,49450,OFF (조건미충족),47250,ON (상시감시),OFF (알림전용),67200,ON (상시감시),OFF (알림전용),9923348,8863800,-1059548,-10.68,100.0,🟢 확정 6위 (안정 보유/홀딩)
확정 5위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,57.0,70.6점 (확정),989,4745,2705,0.56,880.4,32.55,2705,944,944,유지,1384,OFF (조건미충족),944,ON (상시감시),OFF (알림전용),4910,ON (상시감시),OFF (알림전용),4692805,2675245,-2017560,-42.99,100.0,🟢 확정 5위 (안정 보유/홀딩)
확정 7위,055490,테이팩스,21.1,91.0점,20.0,20.0,16.0,20.0,15.0,52.0,67.6점 (확정),4283,23365,14050,0.72,2945.4,20.96,14050,8159,8159,유지,9630,OFF (조건미충족),8150,ON (상시감시),OFF (알림전용),21450,ON (상시감시),OFF (알림전용),100072295,60176150,-39896145,-39.87,100.0,⚠️ 비중과다(21.1%) 집중위험 (추매금지/보유)
확정 9위,140670,알에스오토메이션,2.0,47.0점,5.0,16.0,4.0,16.0,6.0,60.0,54.8점 (확정),531,18899,10780,0.19,3322.1,30.82,10780,4136,4136,유지,5790,OFF (조건미충족),4135,ON (상시감시),OFF (알림전용),19090,ON (상시감시),OFF (알림전용),10035369,5724180,-4311189,-42.96,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
ETF 3위,088500,PLUS 고배당주,2.2,ETF 제외,-,-,-,-,-,30.0,30.0점 (ETF T점수 100%),250,28186,25100,-1.18,335.0,1.33,25100,24430,24430,유지,24550,OFF (조건미충족),24400,ON (상시감시),OFF (알림전용),25950,ON (상시감시),OFF (알림전용),7046500,6275000,-771500,-10.95,100.0,🚨 ETF 기술추세 약세 (손절/비중축소 검토)
확정 4위,206650,유바이오로직스,1.3,100.0점,25.0,20.0,20.0,20.0,15.0,53.0,71.8점 (확정),418,15717,9120,-0.33,2416.7,26.5,9120,4287,4287,유지,5490,OFF (조건미충족),4285,ON (상시감시),OFF (알림전용),15170,ON (상시감시),OFF (알림전용),6569706,3812160,-2757546,-41.97,100.0,🟢 확정 4위 (안정 보유/홀딩)
확정 10위,219550,자이글,17.3,31.0점,5.0,4.0,8.0,8.0,6.0,55.0,45.4점 (확정),9314,7518,5310,0.0,69.1,1.3,5310,5172,5172,유지,5200,OFF (조건미충족),5170,ON (상시감시),OFF (알림전용),5490,ON (상시감시),OFF (알림전용),70022652,49457340,-20565312,-29.37,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
확정 8위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,44.0,60.0점 (확정),115,17995,8350,-1.07,3539.1,42.38,8350,1272,1272,유지,3040,OFF (조건미충족),1271,ON (상시감시),OFF (알림전용),17200,ON (상시감시),OFF (알림전용),2069425,960250,-1109175,-53.6,100.0,🎯 펀더멘탈유지/기술꺾임 (차익실현/익절)
