순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 3위,013030,하이록코리아,1.0,91.0점,20.0,16.0,20.0,20.0,15.0,61.0,73.0점 (확정),38.6,📈 매집 유지 (상승),-92,90,38945,33700,0.0,2988.1,8.87,34650,29318,29200,유지,29200,OFF (조건미충족),29200,ON (상시감시),OFF (알림전용),42700,ON (상시감시),OFF (알림전용),3505050,3033000,-472050,-13.47,100.0,⚠️ CHO 유출 (확정 3위 / 45m 자금유출)
확정 1위,034020,두산에너빌리티,0.7,73.0점,10.0,20.0,16.0,12.0,15.0,85.0,80.2점 (확정),56.1,📈 매집 유지 (상승),-7201,27,74800,81700,1.74,4501.8,5.51,81900,75047,74900,유지,74900,OFF (조건미충족),74900,ON (상시감시),OFF (알림전용),95300,ON (상시감시),OFF (알림전용),2019600,2205900,186300,9.22,100.0,⚠️ CHO 유출 (확정 1위 / 45m 자금유출)
확정 7위,047050,포스코인터내셔널,2.8,78.0점,15.0,20.0,16.0,12.0,15.0,55.0,64.2점 (확정),24.4,📉 3일 OBV 이탈 (데드크로스),805,158,62806,55000,-1.43,3928.0,7.14,56100,49108,49100,유지,49100,OFF (조건미충족),49100,ON (상시감시),OFF (알림전용),66800,ON (상시감시),OFF (알림전용),9923348,8690000,-1233348,-12.43,100.0,⚠️ OBV 이탈 (확정 7위 / 45m OBV 데드)
확정 9위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,33.0,56.2점 (확정),27.3,📈 매집 유지 (상승),-5277,989,4745,2685,-1.29,619.7,23.08,2720,2282,2280,유지,2065,OFF (조건미충족),2280,ON (상시감시),OFF (알림전용),3225,ON (상시감시),OFF (알림전용),4692805,2655465,-2037340,-43.41,100.0,⚠️ CHO 유출 (확정 9위 / 45m 자금유출)
확정 5위,055490,테이팩스,20.3,91.0점,20.0,20.0,16.0,20.0,15.0,52.0,67.6점 (확정),50.5,📈 매집 유지 (상승),-324,4283,23364,14570,2.82,3246.1,22.28,14570,12342,12380,⬆️ 상향갱신,11320,OFF (조건미충족),12380,ON (상시감시),OFF (알림전용),17490,ON (상시감시),OFF (알림전용),100068012,62403310,-37664702,-37.64,100.0,⚠️ 비중과다(20.3%) 집중위험 (추매금지/보유)
확정 10위,140670,알에스오토메이션,1.9,47.0점,5.0,16.0,4.0,16.0,6.0,60.0,54.8점 (확정),34.1,📈 매집 유지 (상승),-1996,531,18899,10820,0.56,2860.6,26.44,10890,9256,9190,유지,7950,OFF (조건미충족),9190,ON (상시감시),OFF (알림전용),12990,ON (상시감시),OFF (알림전용),10035369,5745420,-4289949,-42.75,100.0,⚠️ CHO 유출 (확정 10위 / 45m 자금유출)
확정 4위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,55.0,73.0점 (확정),34.1,📈 매집 유지 (상승),1164,293,15716,9000,0.45,1899.0,21.1,9120,7624,7650,⬆️ 상향갱신,7100,OFF (조건미충족),7650,ON (상시감시),OFF (알림전용),10800,ON (상시감시),OFF (알림전용),4604788,2637000,-1967788,-42.73,100.0,🟢 확정 4위 (안정 보유/홀딩)
확정 8위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,49.0,63.0점 (확정),27.3,📈 매집 유지 (상승),-3310,115,17995,8700,5.07,3260.9,37.48,8700,7370,7390,⬆️ 상향갱신,5430,OFF (조건미충족),7390,ON (상시감시),OFF (알림전용),10440,ON (상시감시),OFF (알림전용),2069425,1000500,-1068925,-51.65,100.0,⚠️ CHO 유출 (확정 8위 / 45m 자금유출)
확정 2위,267260,HD현대일렉트릭,1.0,92.0점,25.0,20.0,20.0,12.0,15.0,67.0,77.0점 (확정),48.0,📈 매집 유지 (상승),-912,4,745000,792000,1.28,53869.5,6.8,800000,713196,711000,유지,711000,OFF (조건미충족),711000,ON (상시감시),OFF (알림전용),954000,ON (상시감시),OFF (알림전용),2980000,3168000,188000,6.31,100.0,🟢 확정 2위 (안정 보유/홀딩)
잠정 1위,348340,뉴로메카,0.9,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,52.0,40.4점 (잠정·재무검증 필요),47.6,📈 매집 유지 (상승),-5936,124,80329,21450,4.13,17890.5,83.41,21550,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2659800,-7300996,-73.3,75.0,⚠️ DART 재무 미확정 (추매금지/재수집필요)
