순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,OBV데드 발생일자,OBV데드 경과일수,일봉 Chaikin 최근2봉,45m Chaikin 최근2봉,ADX +DI/-DI 우세방향,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 2위,004960,한신공영,7.1,71.0점,20.0,16.0,12.0,8.0,15.0,69.0,69.8점 (확정),N/A,0일차,"[0, 0]","[0, 0]",-,42.5,📈 OBV(9) 매집 유지 (상승),95,1871,10962,11030,-0.27,657.8,5.96,11030,0,10040,🆕 신규설정,10040,OFF (조건미충족),10040,ON (상시감시),OFF (알림전용),13010,ON (상시감시),OFF (알림전용),20509902,20637130,127228,0.62,100.0,🟢 확정 2위 (계속 보유/홀딩)
확정 6위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,35.0,57.4점 (확정),N/A,0일차,"[0, 0]","[0, 0]",-,30.7,📉 OBV(9) 데드크로스 (이탈),4092,975,4745,2635,-3.12,627.2,23.8,2635,0,2235,🆕 신규설정,2005,OFF (조건미충족),2235,ON (상시감시),OFF (알림전용),3165,ON (상시감시),OFF (알림전용),4626375,2569125,-2057250,-44.47,100.0,🟢 확정 6위 (계속 보유/홀딩)
확정 3위,055490,테이팩스,21.2,91.0점,20.0,20.0,16.0,20.0,15.0,50.0,66.4점 (확정),N/A,0일차,"[0, 0]","[0, 0]",-,50.9,📉 OBV(9) 데드크로스 (이탈),-205,4283,23364,14400,1.62,3246.1,22.54,14400,0,12240,🆕 신규설정,11150,OFF (조건미충족),12240,ON (상시감시),OFF (알림전용),17280,ON (상시감시),OFF (알림전용),100068012,61675200,-38392812,-38.37,100.0,⚠️ 비중과다(21.2%) 집중위험 (추매금지/보유)
확정 8위,140670,알에스오토메이션,2.0,47.0점,5.0,16.0,4.0,16.0,6.0,50.0,48.8점 (확정),N/A,0일차,"[0, 0]","[0, 0]",-,30.5,📈 OBV(9) 매집 유지 (상승),37,531,18899,10730,-0.28,2860.6,26.66,10730,0,9120,🆕 신규설정,7860,OFF (조건미충족),9120,ON (상시감시),OFF (알림전용),12880,ON (상시감시),OFF (알림전용),10035369,5697630,-4337739,-43.22,100.0,🟢 확정 8위 (계속 보유/홀딩)
ETF 2위,161510,PLUS 고배당주,2.2,ETF 제외,-,-,-,-,-,76.0,76.0점 (ETF T점수 100%),N/A,0일차,"[0, 0]","[0, 0]",-,24.9,📉 OBV(9) 데드크로스 (이탈),-5189,250,28186,25100,0.62,757.3,3.02,25100,0,23550,🆕 신규설정,23950,OFF (조건미충족),23550,ON (상시감시),OFF (알림전용),27400,ON (상시감시),OFF (알림전용),7046500,6275000,-771500,-10.95,100.0,🟢 ETF 2위 (계속 보유/홀딩)
확정 4위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,42.0,65.2점 (확정),N/A,0일차,"[0, 0]","[0, 0]",-,35.5,📈 OBV(9) 매집 유지 (상승),-809,293,15716,8900,-0.67,1899.0,21.34,8900,0,7560,🆕 신규설정,7000,OFF (조건미충족),7560,ON (상시감시),OFF (알림전용),10680,ON (상시감시),OFF (알림전용),4604788,2607700,-1997088,-43.37,100.0,🟢 확정 4위 (계속 보유/홀딩)
확정 7위,234920,자이글,17.0,27.0점,5.0,4.0,4.0,8.0,6.0,66.0,50.4점 (확정),N/A,0일차,"[0, 0]","[0, 0]",-,0.0,데이터 대기,0,9314,7517,5310,0.0,5252.2,98.91,5310,0,4510,🆕 신규설정,57,OFF (조건미충족),4510,ON (상시감시),OFF (알림전용),6380,ON (상시감시),OFF (알림전용),70013338,49457340,-20555998,-29.36,100.0,🟢 확정 7위 (계속 보유/홀딩)
확정 5위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,44.0,60.0점 (확정),N/A,0일차,"[0, 0]","[0, 0]",-,26.1,📈 OBV(9) 매집 유지 (상승),-1674,115,17995,8480,2.42,3260.9,38.45,8480,0,7200,🆕 신규설정,5210,OFF (조건미충족),7200,ON (상시감시),OFF (알림전용),10180,ON (상시감시),OFF (알림전용),2069425,975200,-1094225,-52.88,100.0,🟢 확정 5위 (계속 보유/홀딩)
확정 1위,267260,HD현대일렉트릭,1.1,92.0점,25.0,20.0,20.0,12.0,15.0,67.0,77.0점 (확정),N/A,0일차,"[0, 0]","[0, 0]",-,45.1,⚠️ OBV(9) 조정 약세,-966,4,745000,782000,0.0,53869.5,6.89,782000,0,701000,🆕 신규설정,701000,OFF (조건미충족),701000,ON (상시감시),OFF (알림전용),944000,ON (상시감시),OFF (알림전용),2980000,3128000,148000,4.97,100.0,🟢 확정 1위 (계속 보유/홀딩)
잠정 1위,348340,뉴로메카,0.9,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,41.0,33.8점 (잠정·재무검증 필요),N/A,0일차,"[0, 0]","[0, 0]",-,44.4,📈 OBV(9) 매집 유지 (상승),20,124,80329,21400,3.88,17890.5,83.6,21400,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2653600,-7307196,-73.36,75.0,⚠️ DART 재무 미확정 (보류)
ETF 1위,490590,RISE 미국AI밸류체인데일리고정커버드콜,46.5,ETF 제외,-,-,-,-,-,80.0,80.0점 (ETF T점수 100%),N/A,0일차,"[0, 0]","[0, 0]",-,34.8,📈 OBV(9) 매집 유지 (상승),7819,9114,16458,14830,1.16,429.1,2.89,14830,0,13940,🆕 신규설정,14180,OFF (조건미충족),13940,ON (상시감시),OFF (알림전용),16120,ON (상시감시),OFF (알림전용),149998212,135160620,-14837592,-9.89,100.0,⚠️ 비중과다(46.5%) 집중위험 (추매금지/보유)
