순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 3위,013030,하이록코리아,1.0,91.0점,20.0,16.0,20.0,20.0,15.0,63.0,74.2점 (확정),43.8,⏸️ 관망 (중립),-15579,90,38945,33750,0.15,2988.1,8.85,34650,28977,29250,⬆️ 상향갱신,29250,OFF (조건미충족),29250,ON (상시감시),OFF (알림전용),42750,ON (상시감시),OFF (알림전용),3505050,3037500,-467550,-13.34,100.0,🟢 확정 3위 (안정 보유/홀딩)
확정 1위,034020,두산에너빌리티,0.7,73.0점,10.0,20.0,16.0,12.0,15.0,85.0,80.2점 (확정),52.0,📈 매집 우위 (상승),-12028,27,74800,81800,1.87,4501.8,5.5,81800,73374,75000,⬆️ 상향갱신,75000,OFF (조건미충족),75000,ON (상시감시),OFF (알림전용),95400,ON (상시감시),OFF (알림전용),2019600,2208600,189000,9.36,100.0,🟢 확정 1위 (안정 보유/홀딩)
확정 7위,047050,포스코인터내셔널,2.8,78.0점,15.0,20.0,16.0,12.0,15.0,59.0,66.6점 (확정),22.5,📉 이탈 우위 (하락),2762,158,62806,54900,-1.61,3928.0,7.15,56100,49651,49000,유지,49000,OFF (조건미충족),49000,ON (상시감시),OFF (알림전용),66700,ON (상시감시),OFF (알림전용),9923348,8674200,-1249148,-12.59,100.0,🟢 확정 7위 (안정 보유/홀딩)
확정 9위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,33.0,56.2점 (확정),20.2,📉 이탈 우위 (하락),-1808,989,4745,2705,-0.55,619.0,22.88,2720,2312,2295,유지,2085,OFF (조건미충족),2295,ON (상시감시),OFF (알림전용),3250,ON (상시감시),OFF (알림전용),4692805,2675245,-2017560,-42.99,100.0,🎯 펀더멘탈유지/기술꺾임 (차익실현/익절)
확정 6위,055490,테이팩스,20.2,91.0점,20.0,20.0,16.0,20.0,15.0,52.0,67.6점 (확정),22.7,📈 매집 우위 (상승),2013,4283,23364,14500,2.33,3246.1,22.39,14500,12044,12320,⬆️ 상향갱신,11250,OFF (조건미충족),12320,ON (상시감시),OFF (알림전용),17400,ON (상시감시),OFF (알림전용),100068012,62103500,-37964512,-37.94,100.0,⚠️ 비중과다(20.2%) 집중위험 (추매금지/보유)
확정 10위,140670,알에스오토메이션,1.9,47.0점,5.0,16.0,4.0,16.0,6.0,60.0,54.8점 (확정),35.0,📈 매집 우위 (상승),-966,531,18899,10860,0.93,2860.6,26.34,10860,9146,9230,⬆️ 상향갱신,7990,OFF (조건미충족),9230,ON (상시감시),OFF (알림전용),13040,ON (상시감시),OFF (알림전용),10035369,5766660,-4268709,-42.54,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
확정 4위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,55.0,73.0점 (확정),35.7,📈 매집 우위 (상승),1180,293,15716,9010,0.56,1899.0,21.08,9120,7616,7650,⬆️ 상향갱신,7110,OFF (조건미충족),7650,ON (상시감시),OFF (알림전용),10820,ON (상시감시),OFF (알림전용),4604788,2639930,-1964858,-42.67,100.0,🟢 확정 4위 (안정 보유/홀딩)
확정 8위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,49.0,63.0점 (확정),21.2,📈 매집 우위 (상승),-4816,115,17995,8690,4.95,3260.9,37.52,8690,7038,7380,⬆️ 상향갱신,5420,OFF (조건미충족),7380,ON (상시감시),OFF (알림전용),10430,ON (상시감시),OFF (알림전용),2069425,999350,-1070075,-51.71,100.0,🎯 펀더멘탈유지/기술꺾임 (차익실현/익절)
확정 2위,267260,HD현대일렉트릭,1.0,92.0점,25.0,20.0,20.0,12.0,15.0,67.0,77.0점 (확정),36.5,📈 매집 우위 (상승),-769,4,745000,800000,2.3,53869.5,6.73,800000,698788,719000,⬆️ 상향갱신,719000,OFF (조건미충족),719000,ON (상시감시),OFF (알림전용),962000,ON (상시감시),OFF (알림전용),2980000,3200000,220000,7.38,100.0,🟢 확정 2위 (안정 보유/홀딩)
잠정 1위,348340,뉴로메카,0.9,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,52.0,40.4점 (잠정·재무검증 필요),38.5,📈 매집 우위 (상승),-3843,124,80329,21550,4.61,17890.5,83.02,21550,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2672200,-7288596,-73.17,75.0,⚠️ DART 재무 미확정 (추매금지/재수집필요)
ETF 3위,371460,TIGER 차이나전기차SOLACTIVE,0.5,ETF 제외,-,-,-,-,-,58.0,58.0점 (ETF T점수 100%),16.5,📉 이탈 우위 (하락),-2366,137,14570,10970,0.0,785.3,7.16,11005,9720,9790,⬆️ 상향갱신,9790,OFF (조건미충족),9790,ON (상시감시),OFF (알림전용),13330,ON (상시감시),OFF (알림전용),1996090,1502890,-493200,-24.71,100.0,⏸️ ETF 추세 중립 (조정 구간 관망)
확정 5위,004960,한신공영,6.8,71.0점,20.0,16.0,12.0,8.0,15.0,68.0,69.2점 (확정),31.1,📈 매집 우위 (상승),-43,1871,10962,11140,0.72,657.8,5.91,11140,10049,10150,⬆️ 상향갱신,10150,OFF (조건미충족),10150,ON (상시감시),OFF (알림전용),13120,ON (상시감시),OFF (알림전용),20509902,20842940,333038,1.62,100.0,🟢 확정 5위 (안정 보유/홀딩)
ETF 2위,161510,PLUS 고배당주,2.0,ETF 제외,-,-,-,-,-,76.0,76.0점 (ETF T점수 100%),21.8,📈 매집 우위 (상승),1484,250,28186,25095,0.6,753.4,3.0,25095,23448,23550,⬆️ 상향갱신,23950,OFF (조건미충족),23550,ON (상시감시),OFF (알림전용),27400,ON (상시감시),OFF (알림전용),7046500,6273750,-772750,-10.97,100.0,🟢 ETF 2위 (안정 보유/홀딩)
확정 11위,234920,자이글,16.1,27.0점,5.0,4.0,4.0,8.0,6.0,73.0,54.6점 (확정),0.0,⏸️ 관망 (중립),0,9314,7517,5310,0.0,5252.2,98.91,5310,4514,4510,유지,57,OFF (조건미충족),4510,ON (상시감시),OFF (알림전용),6380,ON (상시감시),OFF (알림전용),70013338,49457340,-20555998,-29.36,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
ETF 1위,490590,RISE 미국AI밸류체인데일리고정커버드콜,43.9,ETF 제외,-,-,-,-,-,84.0,84.0점 (ETF T점수 100%),16.1,📈 매집 우위 (상승),3025,9114,16458,14785,0.85,428.7,2.9,14785,13780,13890,⬆️ 상향갱신,14140,OFF (조건미충족),13890,ON (상시감시),OFF (알림전용),16080,ON (상시감시),OFF (알림전용),149998212,134750490,-15247722,-10.17,100.0,⚠️ 비중과다(43.9%) 집중위험 (추매금지/보유)
