순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,OBV데드 발생일자,OBV데드 경과일수,일봉 Chaikin 최근2봉,45m Chaikin 최근2봉,ADX +DI/-DI 우세방향,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 2위,004960,한신공영,5.4,71.0점,20.0,16.0,12.0,8.0,15.0,50.0,69.8점 (확정),2026-08-02,12일차,"[-105156, -98857]","[96, 12]",+DI: 32.1 / -DI: 17.1 (+DI우세),42.4,📈 OBV(9) 매집 유지 (상승),12,1871,10962,10962.0,-0.9,657.8,6.0,10962,0,9970,🆕 신규설정,9970,OFF (조건미충족),9970,ON (상시감시),OFF (알림전용),12610,ON (상시감시),OFF (알림전용),20509902,20509902,0,0.0,100.0,"🚨 매도 (ADX 방향 불일치, 참고) (45분봉 단기반등 주의) (확정 2위)"
확정 6위,047770,코데즈컴바인,1.2,91.0점,20.0,20.0,16.0,20.0,15.0,50.0,57.4점 (확정),2026-08-13,1일차,"[-487909, -460384]","[3361, 3657]",+DI: 46.7 / -DI: 42.2 (+DI우세),31.5,📉 OBV(9) 데드크로스 (이탈),3657,975,4745,4745.0,-4.41,627.2,24.12,4745,0,4030,🆕 신규설정,3800,OFF (조건미충족),4030,ON (상시감시),OFF (알림전용),6320,ON (상시감시),OFF (알림전용),4626375,4626375,0,0.0,100.0,🎯 분할매수 (확정 6위 / 45m 단기조정 감지)
확정 3위,055490,테이팩스,26.2,91.0점,20.0,20.0,16.0,20.0,15.0,50.0,66.4점 (확정),N/A (정상상승),0일차,"[-12496, -10672]","[-206, -301]",+DI: 49.2 / -DI: 43.9 (+DI우세),50.9,📉 OBV(9) 데드크로스 (이탈),-301,4283,23364,23364.0,0.88,3246.1,22.71,23364,0,19850,🆕 신규설정,18490,OFF (조건미충족),19850,ON (상시감시),OFF (알림전용),31500,ON (상시감시),OFF (알림전용),100068012,100068012,0,0.0,100.0,⚠️ 비중과다(26.2%) + 🚨 45m 이중수급이탈 (추매금지/보유)
확정 8위,140670,알에스오토메이션,2.6,47.0점,5.0,16.0,4.0,16.0,6.0,50.0,48.8점 (확정),2026-08-13,1일차,"[18708, 21931]","[-120, -307]",+DI: 47.7 / -DI: 44.0 (+DI우세),29.0,📈 OBV(9) 매집 유지 (상승),-307,531,18899,18899.0,-0.28,2865.6,26.71,18899,0,16060,🆕 신규설정,14600,OFF (조건미충족),16060,ON (상시감시),OFF (알림전용),26100,ON (상시감시),OFF (알림전용),10035369,10035369,0,0.0,100.0,⚠️ 확정 8위 펀더멘탈/기술약세 (반등시 분할매도)
ETF 1위,161510,PLUS 고배당주,1.8,ETF 제외,-,-,-,-,-,50.0,50.0점 (ETF T점수 100%),N/A (정상상승),0일차,"[150573, 140305]","[-6838, -9490]",+DI: 11.3 / -DI: 22.2 (-DI우세),24.6,📉 OBV(9) 데드크로스 (이탈),-9490,250,28186,28186.0,0.06,757.3,3.03,28186,0,26650,🆕 신규설정,27050,OFF (조건미충족),26650,ON (상시감시),OFF (알림전용),30100,ON (상시감시),OFF (알림전용),7046500,7046500,0,0.0,100.0,🎯 분할매수 (ETF 1위 / 45m 단기조정 감지)
확정 4위,206650,유바이오로직스,1.2,100.0점,25.0,20.0,20.0,20.0,15.0,50.0,65.2점 (확정),2026-08-13,1일차,"[-29787, -31097]","[-683, -461]",+DI: 47.6 / -DI: 44.9 (+DI우세),36.0,📈 OBV(9) 매집 유지 (상승),-461,293,15716,15716.0,-1.12,1899.0,21.43,15716,0,13350,🆕 신규설정,12860,OFF (조건미충족),13350,ON (상시감시),OFF (알림전용),20500,ON (상시감시),OFF (알림전용),4604788,4604788,0,0.0,100.0,🎯 분할매수 (확정 4위 / 45m 단기조정 감지)
확정 7위,234920,자이글,18.3,27.0점,5.0,4.0,4.0,8.0,6.0,50.0,50.4점 (확정),N/A (정상상승),0일차,"[0, 0]","[0, 0]",+DI: 0.0 / -DI: 0.0 (+DI우세),0.0,데이터 대기,0,9314,7517,7517.0,0.0,5252.2,98.91,7517,0,6380,🆕 신규설정,0,OFF (조건미충족),6380,ON (상시감시),OFF (알림전용),20650,ON (상시감시),OFF (알림전용),70013338,70013338,0,0.0,100.0,⚠️ 확정 7위 펀더멘탈/기술약세 (반등시 분할매도)
확정 5위,241520,DSC인베스트먼트,0.5,84.0점,25.0,4.0,20.0,20.0,15.0,50.0,60.0점 (확정),2026-08-10,4일차,"[-156987, -158729]","[-2643, -2540]",+DI: 48.0 / -DI: 45.8 (+DI우세),25.0,📈 OBV(9) 매집 유지 (상승),-2540,115,17995,17995.0,1.57,3260.9,38.77,17995,0,15290,🆕 신규설정,13100,OFF (조건미충족),15290,ON (상시감시),OFF (알림전용),26150,ON (상시감시),OFF (알림전용),2069425,2069425,0,0.0,100.0,"🚨 매도 (ADX 방향 불일치, 참고) (일봉+45분봉 이중확인) (확정 5위)"
확정 1위,267260,HD현대일렉트릭,0.8,92.0점,25.0,20.0,20.0,12.0,15.0,50.0,77.0점 (확정),N/A (정상상승),0일차,"[-32106, -29424]","[-734, -1035]",+DI: 47.4 / -DI: 16.1 (+DI우세),43.1,📉 OBV(9) 데드크로스 (이탈),-1035,4,745000,745000.0,-0.51,54369.5,6.99,745000,0,663000,🆕 신규설정,663000,OFF (조건미충족),663000,ON (상시감시),OFF (알림전용),881000,ON (상시감시),OFF (알림전용),2980000,2980000,0,0.0,100.0,⚠️ OBV 이탈 (확정 1위 / 45m OBV 데드)
잠정 1위,348340,뉴로메카,2.6,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,50.0,37.4점 (잠정·재무검증 필요),N/A (정상상승),0일차,"[-275640, -271888]","[-509, -495]",+DI: 47.9 / -DI: 47.5 (+DI우세),43.4,📈 OBV(9) 매집 유지 (상승),-495,124,80329,80329.0,3.88,17890.5,83.6,80329,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,9960796,0,0.0,75.0,⚠️ DART 재무 미확정 (보류)
