순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 4위,004960,한신공영,7.1,71.0점,20.0,16.0,12.0,8.0,15.0,63.0,66.2점 (확정),43.5,📈 매집 유지 (상승),-991,1871,10962,10960,-0.9,657.8,6.0,10960,0,9970,🆕 신규설정,9970,OFF (조건미충족),9970,ON (상시감시),OFF (알림전용),12940,ON (상시감시),OFF (알림전용),20509902,20506160,-3742,-0.02,100.0,⚠️ CHO 유출 (확정 4위 / 45m 자금유출)
확정 6위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,33.0,56.2점 (확정),25.7,📈 매집 유지 (상승),-345,989,4745,2670,-1.84,620.1,23.22,2670,0,2265,🆕 신규설정,2045,OFF (조건미충족),2265,ON (상시감시),OFF (알림전용),3205,ON (상시감시),OFF (알림전용),4692805,2640630,-2052175,-43.73,100.0,⚠️ CHO 유출 (확정 6위 / 45m 자금유출)
확정 3위,055490,테이팩스,21.3,91.0점,20.0,20.0,16.0,20.0,15.0,52.0,67.6점 (확정),50.5,📈 매집 유지 (상승),-355,4283,23364,14460,2.05,3246.1,22.45,14460,0,12290,🆕 신규설정,11210,OFF (조건미충족),12290,ON (상시감시),OFF (알림전용),17360,ON (상시감시),OFF (알림전용),100068012,61932180,-38135832,-38.11,100.0,⚠️ 비중과다(21.3%) 집중위험 (추매금지/보유)
확정 7위,140670,알에스오토메이션,2.0,47.0점,5.0,16.0,4.0,16.0,6.0,60.0,54.8점 (확정),34.1,📈 매집 유지 (상승),-753,531,18899,10820,0.56,2860.6,26.44,10820,0,9190,🆕 신규설정,7950,OFF (조건미충족),9190,ON (상시감시),OFF (알림전용),12990,ON (상시감시),OFF (알림전용),10035369,5745420,-4289949,-42.75,100.0,⚠️ CHO 유출 (확정 7위 / 45m 자금유출)
ETF 2위,161510,PLUS 고배당주,2.1,ETF 제외,-,-,-,-,-,70.0,70.0점 (ETF T점수 100%),28.7,📈 매집 유지 (상승),1227,250,28186,24910,-0.14,756.9,3.04,24910,0,23400,🆕 신규설정,23750,OFF (조건미충족),23400,ON (상시감시),OFF (알림전용),27200,ON (상시감시),OFF (알림전용),7046500,6227500,-819000,-11.62,100.0,🟢 ETF 2위 (안정 보유/홀딩)
확정 2위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,53.0,71.8점 (확정),34.1,📈 매집 유지 (상승),-125,293,15716,8940,-0.22,1899.0,21.24,8940,0,7590,🆕 신규설정,7040,OFF (조건미충족),7590,ON (상시감시),OFF (알림전용),10730,ON (상시감시),OFF (알림전용),4604788,2619420,-1985368,-43.12,100.0,⚠️ CHO 유출 (확정 2위 / 45m 자금유출)
확정 8위,234920,자이글,17.0,27.0점,5.0,4.0,4.0,8.0,6.0,73.0,54.6점 (확정),0.0,데이터 미수집,0,9314,7517,5310,0.0,5252.2,98.91,5310,0,4510,🆕 신규설정,57,OFF (조건미충족),4510,ON (상시감시),OFF (알림전용),6380,ON (상시감시),OFF (알림전용),70013338,49457340,-20555998,-29.36,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
확정 5위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,49.0,63.0점 (확정),27.9,📈 매집 유지 (상승),-1473,115,17995,8640,4.35,3260.9,37.74,8640,0,7340,🆕 신규설정,5370,OFF (조건미충족),7340,ON (상시감시),OFF (알림전용),10370,ON (상시감시),OFF (알림전용),2069425,993600,-1075825,-51.99,100.0,⚠️ CHO 유출 (확정 5위 / 45m 자금유출)
확정 1위,267260,HD현대일렉트릭,1.1,92.0점,25.0,20.0,20.0,12.0,15.0,67.0,77.0점 (확정),49.1,📈 매집 유지 (상승),-1102,4,745000,784500,0.32,53869.5,6.87,784500,0,703000,🆕 신규설정,703000,OFF (조건미충족),703000,ON (상시감시),OFF (알림전용),947000,ON (상시감시),OFF (알림전용),2980000,3138000,158000,5.3,100.0,⚠️ CHO 유출 (확정 1위 / 45m 자금유출)
잠정 1위,348340,뉴로메카,0.9,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,52.0,40.4점 (잠정·재무검증 필요),47.0,📈 매집 유지 (상승),-4004,124,80329,21400,3.88,17890.5,83.6,21400,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2653600,-7307196,-73.36,75.0,⚠️ DART 재무 미확정 (추매금지/재수집필요)
