순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,OBV데드 발생일자,OBV데드 경과일수,일봉 Chaikin 최근2봉,45m Chaikin 최근2봉,ADX +DI/-DI 우세방향,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 3위,004960,한신공영,7.1,71.0점,20.0,16.0,12.0,8.0,15.0,78.0,75.2점 (확정),N/A (정상상승),0일차,"[-12094, -8823]","[8191, 8129]",+DI: 25.4 / -DI: 22.1 (+DI우세),42.7,📈 OBV(9) 매집 유지 (상승),8129,1871,10962,11060.0,0.0,559.1,5.06,11060,0,10220,🆕 신규설정,10220,OFF (조건미충족),10220,ON (상시감시),OFF (알림전용),12740,ON (상시감시),OFF (알림전용),20509902,20693260,183358,0.89,100.0,🟢 확정 3위 (계속 보유/홀딩)
확정 2위,055490,테이팩스,22.3,91.0점,20.0,20.0,16.0,20.0,15.0,66.0,76.0점 (확정),N/A (정상상승),0일차,"[-28971, -23929]","[-95, -405]",+DI: 34.5 / -DI: 21.3 (+DI우세),50.7,📉 OBV(9) 데드크로스 (이탈),-405,4283,23364,15210.0,7.34,1216.2,8.0,15210,0,13380,🆕 신규설정,13380,OFF (조건미충족),13380,ON (상시감시),OFF (알림전용),18860,ON (상시감시),OFF (알림전용),100068012,65144430,-34923582,-34.9,100.0,⚠️ 비중과다(22.3%) 집중위험 (추매금지/보유)
확정 7위,140670,알에스오토메이션,2.0,47.0점,5.0,16.0,4.0,16.0,6.0,50.0,48.8점 (확정),2026-08-13,1일차,"[-16912, -9670]","[3504, 2579]",+DI: 29.9 / -DI: 15.9 (+DI우세),28.5,⚠️ OBV(9) 조정 약세,2579,531,18899,10740.0,-0.19,1067.5,9.94,10740,0,9130,🆕 신규설정,9130,OFF (조건미충족),9130,ON (상시감시),OFF (알림전용),13950,ON (상시감시),OFF (알림전용),10035369,5702940,-4332429,-43.17,100.0,🟢 확정 7위 (계속 보유/홀딩)
ETF 2위,161510,PLUS 고배당주,2.1,ETF 제외,-,-,-,-,-,68.0,68.0점 (ETF T점수 100%),N/A (정상상승),0일차,"[150573, 142539]","[-14607, -21460]",+DI: 11.3 / -DI: 22.2 (-DI우세),24.6,📉 OBV(9) 데드크로스 (이탈),-21460,250,28186,24990.0,0.18,757.3,3.03,24990,0,23450,🆕 신규설정,23850,OFF (조건미충족),23450,ON (상시감시),OFF (알림전용),27300,ON (상시감시),OFF (알림전용),7046500,6247500,-799000,-11.34,100.0,🟢 ETF 2위 (계속 보유/홀딩)
확정 4위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,53.0,71.8점 (확정),2026-08-12,2일차,"[-106400, -102022]","[-3965, -4859]",+DI: 25.9 / -DI: 19.0 (+DI우세),36.3,⚠️ OBV(9) 조정 약세,-4859,293,15716,8870.0,-1.0,639.0,7.2,8870,0,7910,🆕 신규설정,7910,OFF (조건미충족),7910,ON (상시감시),OFF (알림전용),10790,ON (상시감시),OFF (알림전용),4604788,2598910,-2005878,-43.56,100.0,"🚨 매도 (ADX 방향 불일치, 참고) (일봉+45분봉 이중확인) (확정 4위)"
확정 6위,234920,자이글,16.9,27.0점,5.0,4.0,4.0,8.0,6.0,66.0,50.4점 (확정),N/A (정상상승),0일차,"[0, 0]","[0, 0]",+DI: 0.0 / -DI: 0.0 (+DI우세),0.0,데이터 대기,0,9314,7517,5310.0,0.0,5252.2,98.91,5310,0,4510,🆕 신규설정,0,OFF (조건미충족),4510,ON (상시감시),OFF (알림전용),21100,ON (상시감시),OFF (알림전용),70013338,49457340,-20555998,-29.36,100.0,🟢 확정 6위 (계속 보유/홀딩)
확정 5위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,58.0,68.4점 (확정),N/A (정상상승),0일차,"[-431166, -414196]","[-2088, -4024]",+DI: 28.7 / -DI: 22.4 (+DI우세),24.7,📈 OBV(9) 매집 유지 (상승),-4024,115,17995,8400.0,1.45,1017.9,12.12,8400,0,7140,🆕 신규설정,6870,OFF (조건미충족),7140,ON (상시감시),OFF (알림전용),11460,ON (상시감시),OFF (알림전용),2069425,966000,-1103425,-53.32,100.0,🟢 확정 5위 (계속 보유/홀딩)
확정 1위,267260,HD현대일렉트릭,1.1,92.0점,25.0,20.0,20.0,12.0,15.0,66.0,76.4점 (확정),N/A (정상상승),0일차,"[-79400, -72603]","[-2375, -3201]",+DI: 25.2 / -DI: 29.9 (-DI우세),43.1,📉 OBV(9) 데드크로스 (이탈),-3201,4,745000,785000.0,0.38,63361.2,8.07,785000,0,689000,🆕 신규설정,689000,OFF (조건미충족),689000,ON (상시감시),OFF (알림전용),976000,ON (상시감시),OFF (알림전용),2980000,3140000,160000,5.37,100.0,🎯 분할매수 (확정 1위 / 45m 단기조정 감지)
잠정 1위,348340,뉴로메카,0.9,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,52.0,40.4점 (잠정·재무검증 필요),N/A (정상상승),0일차,"[-380710, -376973]","[7922, 6473]",+DI: 24.6 / -DI: 17.3 (+DI우세),43.6,📈 OBV(9) 매집 유지 (상승),6473,124,80329,21400.0,3.88,4456.1,20.82,21400,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2653600,-7307196,-73.36,75.0,⚠️ DART 재무 미확정 (보류)
ETF 1위,490590,RISE 미국AI밸류체인데일리고정커버드콜,46.4,ETF 제외,-,-,-,-,-,80.0,80.0점 (ETF T점수 100%),N/A (정상상승),0일차,"[20703, 124161]","[42929, 46321]",+DI: 38.9 / -DI: 31.6 (+DI우세),35.4,📈 OBV(9) 매집 유지 (상승),46321,9114,16458,14845.0,1.26,429.1,2.89,14845,0,13980,🆕 신규설정,14200,OFF (조건미충족),13980,ON (상시감시),OFF (알림전용),16140,ON (상시감시),OFF (알림전용),149998212,135297330,-14700882,-9.8,100.0,⚠️ 비중과다(46.4%) 집중위험 (추매금지/보유)
