종목코드,종목명,매매신호,추천금액(만원),1. F점수조건(>=65),2. T점수조건(>=60),3. 계좌비중조건(<=20%),4. 재무완성도조건(>=90%),5. 악재공시뉴스조건,6. 3일수급쌍쓸이조건,최종 추매승인 여부,기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수,종합점수,현재가(원),당일등락률(%),14일 ATR(원),손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,데이터완성도(%),분석근거
011700,한신기계,관망,0,FAIL,FAIL,PASS (보유 0.7%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),39.0,5.0,4.0,4.0,20.0,6.0,47.0,43.8,2575,-0.96,1057.1,460,ON (상시감시),OFF (알림전용),5220,ON (상시감시),OFF (알림전용),100.0,일목 2등급(16점: 구름대 상단 상회 또는 전환>기준) / VWAP 4등급(6점: 단기 VWAP 하회) / 볼린저 4등급(6점: 하단밴드~중심선 위치) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 5등급(2점: OBV 이평 하회 & 연속 유출) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
013030,하이록코리아,관망,0,PASS,PASS,PASS (보유 1.1%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),91.0,20.0,16.0,20.0,20.0,15.0,71.0,79.0,34650,-0.72,2993.0,28650,ON (상시감시),OFF (알림전용),42150,ON (상시감시),OFF (알림전용),100.0,일목 1등급(20점: 구름대 상단 돌파 & 전환>기준) / VWAP 4등급(6점: 단기 VWAP 하회) / 볼린저 2등급(12점: 중심선~상단밴드 위치) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 2등급(8점: OBV 20일 이평 상회) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
034020,두산에너빌리티,관망,0,PASS,PASS,PASS (보유 0.7%),PASS,UNCONFIRMED(FAIL),PASS,금지(조건미충족),73.0,10.0,20.0,16.0,12.0,15.0,87.0,81.4,77900,-2.5,4872.6,68100,ON (상시감시),OFF (알림전용),90100,ON (상시감시),OFF (알림전용),100.0,일목 1등급(20점: 구름대 상단 돌파 & 전환>기준) / VWAP 1등급(15점: 단기/중기 VWAP 우상향 정배열) / 볼린저 2등급(12점: 중심선~상단밴드 위치) / DMI 2등급(12점: DI+ 우위 상승진입) / OBV 3등급(6점: OBV 이평 수렴) / 채킨 1등급(10점: 매수 유입 급증) / 수급 2등급(12점: 외국인/기관 3일 누적 동반 순매수 양수)
047050,포스코인터내셔널,관망,0,PASS,PASS,PASS (보유 3.1%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),78.0,15.0,20.0,16.0,12.0,15.0,64.0,69.6,56100,-1.06,4417.0,47250,ON (상시감시),OFF (알림전용),67200,ON (상시감시),OFF (알림전용),100.0,일목 2등급(16점: 구름대 상단 상회 또는 전환>기준) / VWAP 3등급(9점: VWAP 평형 유지) / 볼린저 4등급(6점: 하단밴드~중심선 위치) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 2등급(8점: OBV 20일 이평 상회) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
047770,코데즈컴바인,관망,0,PASS,FAIL,PASS (보유 0.9%),PASS,UNCONFIRMED(FAIL),PASS,금지(조건미충족),91.0,20.0,20.0,16.0,20.0,15.0,57.0,70.6,2705,0.56,880.4,944,ON (상시감시),OFF (알림전용),4910,ON (상시감시),OFF (알림전용),100.0,일목 2등급(16점: 구름대 상단 상회 또는 전환>기준) / VWAP 4등급(6점: 단기 VWAP 하회) / 볼린저 4등급(6점: 하단밴드~중심선 위치) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 3등급(6점: OBV 이평 수렴) / 채킨 5등급(2점: 매도 유출 심화) / 수급 2등급(12점: 외국인/기관 3일 누적 동반 순매수 양수)
055490,테이팩스,관망,0,PASS,FAIL,FAIL (비중과다 21.1%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),91.0,20.0,20.0,16.0,20.0,15.0,52.0,67.6,14050,0.72,2945.4,8150,ON (상시감시),OFF (알림전용),21450,ON (상시감시),OFF (알림전용),100.0,일목 2등급(16점: 구름대 상단 상회 또는 전환>기준) / VWAP 5등급(3점: VWAP 하회 역배열) / 볼린저 4등급(6점: 하단밴드~중심선 위치) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 1등급(10점: OBV 20일 이평 상회 & 우상향) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
140670,알에스오토메이션,관망,0,FAIL,PASS,PASS (보유 2.0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),47.0,5.0,16.0,4.0,16.0,6.0,60.0,54.8,10780,0.19,3322.1,4135,ON (상시감시),OFF (알림전용),19090,ON (상시감시),OFF (알림전용),100.0,일목 2등급(16점: 구름대 상단 상회 또는 전환>기준) / VWAP 5등급(3점: VWAP 하회 역배열) / 볼린저 4등급(6점: 하단밴드~중심선 위치) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 1등급(10점: OBV 20일 이평 상회 & 우상향) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
088500,PLUS 고배당주,관망,0,ETF 제외(PASS),FAIL,PASS (보유 2.2%),ETF 제외(PASS),UNCONFIRMED(FAIL),FAIL,금지(조건미충족),ETF 제외,-,-,-,-,-,30.0,30.0,25100,-1.18,335.0,24400,ON (상시감시),OFF (알림전용),25950,ON (상시감시),OFF (알림전용),100.0,일목 4등급(8점: 구름대 하단 이탈) / VWAP 5등급(3점: VWAP 하회 역배열) / 볼린저 5등급(3점: 하단밴드 이탈) / DMI 4등급(6점: DI- 우위 하락세) / OBV 5등급(2점: OBV 이평 하회 & 연속 유출) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
206650,유바이오로직스,관망,0,PASS,FAIL,PASS (보유 1.3%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),100.0,25.0,20.0,20.0,20.0,15.0,53.0,71.8,9120,-0.33,2416.7,4285,ON (상시감시),OFF (알림전용),15170,ON (상시감시),OFF (알림전용),100.0,일목 2등급(16점: 구름대 상단 상회 또는 전환>기준) / VWAP 4등급(6점: 단기 VWAP 하회) / 볼린저 4등급(6점: 하단밴드~중심선 위치) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 2등급(8점: OBV 20일 이평 상회) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
219550,자이글,관망,0,FAIL,FAIL,PASS (보유 17.3%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),31.0,5.0,4.0,8.0,8.0,6.0,55.0,45.4,5310,0.0,69.1,5170,ON (상시감시),OFF (알림전용),5490,ON (상시감시),OFF (알림전용),100.0,일목 4등급(8점: 구름대 하단 이탈) / VWAP 3등급(9점: VWAP 평형 유지) / 볼린저 1등급(15점: 상단밴드 돌파/강한 상승파동) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 3등급(6점: OBV 이평 수렴) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
