순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 3위,013030,하이록코리아,1.0,91.0점,20.0,16.0,20.0,20.0,15.0,61.0,73.0점 (확정),38.6,📈 매집 유지 (상승),-259,90,38945,33700,0.0,2988.1,8.87,34650,29218,29200,유지,29200,OFF (조건미충족),29200,ON (상시감시),OFF (알림전용),42700,ON (상시감시),OFF (알림전용),3505050,3033000,-472050,-13.47,100.0,🟢 확정 3위 (안정 보유/홀딩)
확정 1위,034020,두산에너빌리티,0.7,73.0점,10.0,20.0,16.0,12.0,15.0,85.0,80.2점 (확정),56.1,📈 매집 유지 (상승),2902,27,74800,81900,1.99,4501.8,5.5,81900,75047,75100,⬆️ 상향갱신,75100,OFF (조건미충족),75100,ON (상시감시),OFF (알림전용),95500,ON (상시감시),OFF (알림전용),2019600,2211300,191700,9.49,100.0,🟢 확정 1위 (안정 보유/홀딩)
확정 6위,047050,포스코인터내셔널,2.8,78.0점,15.0,20.0,16.0,12.0,15.0,59.0,66.6점 (확정),24.8,📉 3일 수급이탈 (데드크로스),3339,158,62806,55200,-1.08,3928.0,7.12,56100,49208,49300,⬆️ 상향갱신,49300,OFF (조건미충족),49300,ON (상시감시),OFF (알림전용),67000,ON (상시감시),OFF (알림전용),9923348,8721600,-1201748,-12.11,100.0,🟢 확정 6위 (안정 보유/홀딩)
확정 9위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,33.0,56.2점 (확정),27.6,📈 매집 유지 (상승),-2454,989,4745,2710,-0.37,619.0,22.84,2720,2291,2300,⬆️ 상향갱신,2090,OFF (조건미충족),2300,ON (상시감시),OFF (알림전용),3255,ON (상시감시),OFF (알림전용),4692805,2680190,-2012615,-42.89,100.0,🎯 펀더멘탈유지/기술꺾임 (차익실현/익절)
확정 5위,055490,테이팩스,20.3,91.0점,20.0,20.0,16.0,20.0,15.0,52.0,67.6점 (확정),50.8,📈 매집 유지 (상승),-548,4283,23364,14520,2.47,3246.1,22.36,14520,12291,12340,⬆️ 상향갱신,11270,OFF (조건미충족),12340,ON (상시감시),OFF (알림전용),17430,ON (상시감시),OFF (알림전용),100068012,62189160,-37878852,-37.85,100.0,⚠️ 비중과다(20.3%) 집중위험 (추매금지/보유)
확정 10위,140670,알에스오토메이션,1.9,47.0점,5.0,16.0,4.0,16.0,6.0,60.0,54.8점 (확정),34.1,📈 매집 유지 (상승),-874,531,18899,10850,0.84,2860.6,26.36,10860,9206,9220,⬆️ 상향갱신,7980,OFF (조건미충족),9220,ON (상시감시),OFF (알림전용),13020,ON (상시감시),OFF (알림전용),10035369,5761350,-4274019,-42.59,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
확정 4위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,55.0,73.0점 (확정),34.1,📈 매집 유지 (상승),1507,293,15716,8980,0.22,1899.0,21.15,9120,7650,7630,유지,7080,OFF (조건미충족),7630,ON (상시감시),OFF (알림전용),10780,ON (상시감시),OFF (알림전용),4604788,2631140,-1973648,-42.86,100.0,🟢 확정 4위 (안정 보유/홀딩)
확정 8위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,49.0,63.0점 (확정),27.3,📈 매집 유지 (상승),-3205,115,17995,8670,4.71,3260.9,37.61,8690,7370,7360,유지,5400,OFF (조건미충족),7360,ON (상시감시),OFF (알림전용),10410,ON (상시감시),OFF (알림전용),2069425,997050,-1072375,-51.82,100.0,🎯 펀더멘탈유지/기술꺾임 (차익실현/익절)
확정 2위,267260,HD현대일렉트릭,1.0,92.0점,25.0,20.0,20.0,12.0,15.0,67.0,77.0점 (확정),48.0,📈 매집 유지 (상승),78,4,745000,796000,1.79,53869.5,6.77,800000,718196,715000,유지,715000,OFF (조건미충족),715000,ON (상시감시),OFF (알림전용),958000,ON (상시감시),OFF (알림전용),2980000,3184000,204000,6.85,100.0,🟢 확정 2위 (안정 보유/홀딩)
잠정 1위,348340,뉴로메카,0.9,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,52.0,40.4점 (잠정·재무검증 필요),47.9,📈 매집 유지 (상승),107,124,80329,21350,3.64,17890.5,83.8,21550,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2647400,-7313396,-73.42,75.0,⚠️ DART 재무 미확정 (추매금지/재수집필요)
ETF 3위,371460,TIGER 차이나전기차SOLACTIVE,0.5,ETF 제외,-,-,-,-,-,58.0,58.0점 (ETF T점수 100%),22.9,📉 3일 수급이탈 (데드크로스),-2274,137,14570,10950,-0.18,785.3,7.17,11005,9787,9770,유지,9770,OFF (조건미충족),9770,ON (상시감시),OFF (알림전용),13310,ON (상시감시),OFF (알림전용),1996090,1500150,-495940,-24.85,100.0,⏸️ ETF 추세 중립 (조정 구간 관망)
확정 7위,004960,한신공영,6.7,71.0점,20.0,16.0,12.0,8.0,15.0,63.0,66.2점 (확정),43.6,📈 매집 유지 (상승),-1553,1871,10962,10970,-0.81,657.8,6.0,11140,9973,9980,⬆️ 상향갱신,9980,OFF (조건미충족),9980,ON (상시감시),OFF (알림전용),12950,ON (상시감시),OFF (알림전용),20509902,20524870,14968,0.07,100.0,🟢 확정 7위 (안정 보유/홀딩)
ETF 2위,161510,PLUS 고배당주,2.0,ETF 제외,-,-,-,-,-,76.0,76.0점 (ETF T점수 100%),28.2,📈 매집 유지 (상승),2705,250,28186,25035,0.36,753.4,3.01,25095,23556,23500,유지,23900,OFF (조건미충족),23500,ON (상시감시),OFF (알림전용),27300,ON (상시감시),OFF (알림전용),7046500,6258750,-787750,-11.18,100.0,🟢 ETF 2위 (안정 보유/홀딩)
확정 11위,234920,자이글,16.1,27.0점,5.0,4.0,4.0,8.0,6.0,73.0,54.6점 (확정),0.0,데이터 미수집,0,9314,7517,5310,0.0,5252.2,98.91,5310,4514,4510,유지,57,OFF (조건미충족),4510,ON (상시감시),OFF (알림전용),6380,ON (상시감시),OFF (알림전용),70013338,49457340,-20555998,-29.36,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
ETF 1위,490590,RISE 미국AI밸류체인데일리고정커버드콜,44.0,ETF 제외,-,-,-,-,-,84.0,84.0점 (ETF T점수 100%),33.6,📈 매집 유지 (상승),12869,9114,16458,14800,0.95,428.7,2.9,14800,13912,13910,유지,14150,OFF (조건미충족),13910,ON (상시감시),OFF (알림전용),16090,ON (상시감시),OFF (알림전용),149998212,134887200,-15111012,-10.07,100.0,⚠️ 비중과다(44.0%) 집중위험 (추매금지/보유)
