순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,OBV데드 발생일자,OBV데드 경과일수,일봉 Chaikin 최근2봉,45m Chaikin 최근2봉,ADX +DI/-DI 우세방향,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 1위,004960,한신공영,7.0,71.0점,20.0,16.0,12.0,8.0,15.0,83.0,78.2점 (확정),N/A (정상상승),0일차,"[-8823, -1710]","[9005, 10192]",+DI: 32.9 / -DI: 19.2 (+DI우세),42.2,📈 OBV(9) 매집 유지 (상승),10192,1739,11092,11690.0,5.7,597.1,5.11,11710,10794,10790,유지,10790,OFF (조건미충족),10790,ON (상시감시),OFF (알림전용),13490,ON (상시감시),OFF (알림전용),19288988,20328910,1039922,5.39,100.0,🟢 확정 1위 (계속 보유/홀딩)
확정 4위,055490,테이팩스,21.6,91.0점,20.0,20.0,16.0,20.0,15.0,64.0,74.8점 (확정),N/A (정상상승),0일차,"[-23902, -20293]","[-4542, -4580]",+DI: 33.6 / -DI: 20.9 (+DI우세),45.1,📉 OBV(9) 데드크로스 (이탈),-4580,4283,23364,14620.0,-3.88,1192.2,8.15,14620,12832,12830,유지,12830,OFF (조건미충족),12830,ON (상시감시),OFF (알림전용),18200,ON (상시감시),OFF (알림전용),100068012,62617460,-37450552,-37.43,100.0,⚠️ 비중과다(21.6%) + 🚨 45m 이중수급이탈 (추매금지/보유)
확정 6위,140670,알에스오토메이션,2.0,47.0점,5.0,16.0,4.0,16.0,6.0,66.0,58.4점 (확정),N/A (정상상승),0일차,"[-9670, -3023]","[3842, 4017]",+DI: 29.5 / -DI: 16.4 (+DI우세),18.9,📈 OBV(9) 매집 유지 (상승),4017,531,18899,10840.0,0.93,1032.0,9.52,10840,9292,9290,유지,9290,OFF (조건미충족),9290,ON (상시감시),OFF (알림전용),13940,ON (상시감시),OFF (알림전용),10035369,5756040,-4279329,-42.64,100.0,🟢 확정 6위 (계속 보유/홀딩)
ETF 2위,161510,PLUS 고배당주,2.2,ETF 제외,-,-,-,-,-,79.0,79.0점 (ETF T점수 100%),N/A (정상상승),0일차,"[142513, 183458]","[11514, 23310]",+DI: 12.3 / -DI: 21.9 (-DI우세),40.2,📈 OBV(9) 매집 유지 (상승),23310,250,28186,25575.0,2.34,749.3,2.93,25575,24076,24050,유지,24450,OFF (조건미충족),24050,ON (상시감시),OFF (알림전용),27850,ON (상시감시),OFF (알림전용),7046500,6393750,-652750,-9.26,100.0,🟢 ETF 2위 (계속 보유/홀딩)
확정 2위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,63.0,77.8점 (확정),2026-08-12,3일차,"[-102102, -91918]","[-8329, -7941]",+DI: 26.2 / -DI: 20.4 (+DI우세),36.7,📈 OBV(9) 매집 유지 (상승),-7941,293,15716,9130.0,2.93,621.9,6.81,9130,8197,8190,유지,8190,OFF (조건미충족),8190,ON (상시감시),OFF (알림전용),11000,ON (상시감시),OFF (알림전용),4604788,2675090,-1929698,-41.91,100.0,"🚨 매도 (ADX 방향 불일치, 참고) (일봉+45분봉 이중확인) (확정 2위)"
확정 7위,234920,자이글,17.0,27.0점,5.0,4.0,4.0,8.0,6.0,66.0,50.4점 (확정),N/A (정상상승),0일차,"[0, 0]","[0, 0]",+DI: 0.0 / -DI: 0.0 (+DI우세),0.0,데이터 대기,0,9314,7517,5310.0,0.0,5256.3,98.99,5310,4514,4510,유지,0,OFF (조건미충족),4510,ON (상시감시),OFF (알림전용),21100,ON (상시감시),OFF (알림전용),70013338,49457340,-20555998,-29.36,100.0,🟢 확정 7위 (계속 보유/홀딩)
확정 5위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,66.0,73.2점 (확정),N/A (정상상승),0일차,"[-414303, -396062]","[-9043, -9027]",+DI: 25.9 / -DI: 24.0 (+DI우세),26.9,📈 OBV(9) 매집 유지 (상승),-9027,115,17995,8510.0,1.31,970.9,11.41,8510,7234,7230,유지,7050,OFF (조건미충족),7230,ON (상시감시),OFF (알림전용),11430,ON (상시감시),OFF (알림전용),2069425,978650,-1090775,-52.71,100.0,🟢 확정 5위 (계속 보유/홀딩)
확정 3위,267260,HD현대일렉트릭,1.1,92.0점,25.0,20.0,20.0,12.0,15.0,66.0,76.4점 (확정),N/A (정상상승),0일차,"[-72603, -60384]","[-7451, -6729]",+DI: 25.7 / -DI: 29.7 (-DI우세),35.6,📈 OBV(9) 매집 유지 (상승),-6729,4,745000,803000.0,2.29,61264.0,7.63,803000,711104,711000,유지,711000,OFF (조건미충족),711000,ON (상시감시),OFF (알림전용),987000,ON (상시감시),OFF (알림전용),2980000,3212000,232000,7.79,100.0,🟢 확정 3위 (계속 보유/홀딩)
잠정 1위,348340,뉴로메카,1.0,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,66.0,48.8점 (잠정·재무검증 필요),N/A (정상상승),0일차,"[-376965, -389025]","[35421, 34041]",+DI: 36.5 / -DI: 15.0 (+DI우세),56.9,📈 OBV(9) 매집 유지 (상승),34041,124,80329,23600.0,10.28,4584.3,19.42,24400,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2926400,-7034396,-70.62,75.0,⚠️ DART 재무 미확정 (보류)
ETF 1위,490590,RISE 미국AI밸류체인데일리고정커버드콜,46.8,ETF 제외,-,-,-,-,-,80.0,80.0점 (ETF T점수 100%),N/A (정상상승),0일차,"[124173, 197644]","[17771, 15008]",+DI: 42.3 / -DI: 28.9 (+DI우세),40.0,📈 OBV(9) 매집 유지 (상승),15008,9114,16458,14905.0,0.4,408.8,2.74,14905,14087,14080,유지,14290,OFF (조건미충족),14080,ON (상시감시),OFF (알림전용),16140,ON (상시감시),OFF (알림전용),149998212,135844170,-14154042,-9.44,100.0,⚠️ 비중과다(46.8%) 집중위험 (추매금지/보유)
