순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 12위,000490,대동,3.4,56.0점,20.0,4.0,16.0,4.0,12.0,68.0,63.2점 (확정),1270,8010,7800,0.0,1040.7,13.34,7800,5719,5719,유지,6230,OFF (조건미충족),5710,ON (상시감시),OFF (알림전용),10410,ON (상시감시),OFF (알림전용),10172700,9906000,-266700,-2.62,100.0,🔄 확정 12위 펀더멘탈중립/기술반등 (안정홀딩/상승시 축소)
확정 5위,013030,하이록코리아,1.1,91.0점,20.0,16.0,20.0,20.0,15.0,67.0,76.6점 (확정),90,38945,34650,-0.72,3382.0,9.76,34650,27886,27886,유지,29550,OFF (조건미충족),27850,ON (상시감시),OFF (알림전용),43150,ON (상시감시),OFF (알림전용),3505050,3118500,-386550,-11.03,100.0,🟢 확정 5위 (안정 보유/홀딩)
확정 3위,034020,두산에너빌리티,0.7,73.0점,10.0,20.0,16.0,12.0,15.0,81.0,77.8점 (확정),27,74800,77900,-2.5,4915.0,6.31,77900,68070,68070,유지,70500,OFF (조건미충족),68000,ON (상시감시),OFF (알림전용),90200,ON (상시감시),OFF (알림전용),2019600,2103300,83700,4.14,100.0,🟢 확정 3위 (안정 보유/홀딩)
확정 4위,047050,포스코인터내셔널,3.0,78.0점,15.0,20.0,16.0,12.0,15.0,77.0,77.4점 (확정),158,62806,56100,-1.06,4235.5,7.55,56100,47629,47629,유지,49700,OFF (조건미충족),47600,ON (상시감시),OFF (알림전용),66700,ON (상시감시),OFF (알림전용),9923348,8863800,-1059548,-10.68,100.0,🟢 확정 4위 (안정 보유/홀딩)
확정 11위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,49.0,65.8점 (확정),989,4745,2705,0.56,708.8,26.2,2705,1287,1287,유지,1641,OFF (조건미충족),1287,ON (상시감시),OFF (알림전용),4480,ON (상시감시),OFF (알림전용),4692805,2675245,-2017560,-42.99,100.0,🎯 펀더멘탈유지/기술꺾임 (차익실현/익절)
확정 9위,055490,테이팩스,20.6,91.0점,20.0,20.0,16.0,20.0,15.0,55.0,69.4점 (확정),4283,23364,14050,0.72,3732.7,26.57,14050,6585,6585,유지,8450,OFF (조건미충족),6580,ON (상시감시),OFF (알림전용),23400,ON (상시감시),OFF (알림전용),100068012,60176150,-39891862,-39.86,100.0,⚠️ 비중과다(20.6%) 집중위험 (추매금지/보유)
확정 14위,140670,알에스오토메이션,2.0,47.0점,5.0,16.0,4.0,16.0,6.0,69.0,60.2점 (확정),531,18899,10780,0.19,3143.4,29.16,10780,4493,4493,유지,6060,OFF (조건미충족),4490,ON (상시감시),OFF (알림전용),18640,ON (상시감시),OFF (알림전용),10035369,5724180,-4311189,-42.96,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
확정 8위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,53.0,71.8점 (확정),293,15716,9120,-0.33,2171.0,23.8,9120,4778,4778,유지,5860,OFF (조건미충족),4775,ON (상시감시),OFF (알림전용),14550,ON (상시감시),OFF (알림전용),4604788,2672160,-1932628,-41.97,100.0,🟢 확정 8위 (안정 보유/홀딩)
확정 13위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,47.0,61.8점 (확정),115,17995,8350,-1.07,3676.5,44.03,8350,997,997,유지,2835,OFF (조건미충족),997,ON (상시감시),OFF (알림전용),17550,ON (상시감시),OFF (알림전용),2069425,960250,-1109175,-53.6,100.0,🎯 펀더멘탈유지/기술꺾임 (차익실현/익절)
확정 7위,267260,HD현대일렉트릭,1.0,92.0점,25.0,20.0,20.0,12.0,15.0,59.0,72.2점 (확정),4,745000,739000,-3.27,55530.9,7.51,739000,627938,627938,유지,655000,OFF (조건미충족),627000,ON (상시감시),OFF (알림전용),878000,ON (상시감시),OFF (알림전용),2980000,2956000,-24000,-0.81,100.0,⚠️ -3% 조정이나 6대조건 미충족 (추매금지/관망)
