순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 4위,004960,한신공영,7.1,71.0점,20.0,16.0,12.0,8.0,15.0,63.0,66.2점 (확정),43.5,📈 OBV(9) 매집 유지 (상승),165,1871,10962,11010,-0.45,657.8,5.97,11010,0,10020,🆕 신규설정,10020,OFF (조건미충족),10020,ON (상시감시),OFF (알림전용),12990,ON (상시감시),OFF (알림전용),20509902,20599710,89808,0.44,100.0,🟢 확정 4위 (안정 보유/홀딩)
확정 6위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,33.0,56.2점 (확정),27.3,📉 OBV(9) 데드크로스 (이탈),6577,989,4745,2660,-2.21,622.2,23.39,2660,0,2260,🆕 신규설정,2035,OFF (조건미충족),2260,ON (상시감시),OFF (알림전용),3195,ON (상시감시),OFF (알림전용),4692805,2630740,-2062065,-43.94,100.0,⚠️ OBV 이탈 (확정 6위 / 45m OBV 데드)
확정 3위,055490,테이팩스,21.2,91.0점,20.0,20.0,16.0,20.0,15.0,52.0,67.6점 (확정),51.0,📉 OBV(9) 데드크로스 (이탈),-242,4283,23364,14410,1.69,3246.1,22.53,14410,0,12240,🆕 신규설정,11160,OFF (조건미충족),12240,ON (상시감시),OFF (알림전용),17300,ON (상시감시),OFF (알림전용),100068012,61718030,-38349982,-38.32,100.0,⚠️ 비중과다(21.2%) + 🚨 이중수급이탈 (추매금지/보유)
확정 7위,140670,알에스오토메이션,2.0,47.0점,5.0,16.0,4.0,16.0,6.0,60.0,54.8점 (확정),33.2,📈 OBV(9) 매집 유지 (상승),275,531,18899,10780,0.19,2860.6,26.54,10780,0,9160,🆕 신규설정,7910,OFF (조건미충족),9160,ON (상시감시),OFF (알림전용),12940,ON (상시감시),OFF (알림전용),10035369,5724180,-4311189,-42.96,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
ETF 2위,161510,PLUS 고배당주,2.1,ETF 제외,-,-,-,-,-,72.0,72.0점 (ETF T점수 100%),27.3,📉 OBV(9) 데드크로스 (이탈),-6385,250,28186,25005,0.24,757.3,3.03,25005,0,23500,🆕 신규설정,23850,OFF (조건미충족),23500,ON (상시감시),OFF (알림전용),27300,ON (상시감시),OFF (알림전용),7046500,6251250,-795250,-11.29,100.0,🚨 단기 매도 (ETF 2위 / OBV이탈·CHO유출)
확정 2위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,51.0,70.6점 (확정),34.0,📈 OBV(9) 매집 유지 (상승),-1354,293,15716,8940,-0.22,1899.0,21.24,8940,0,7590,🆕 신규설정,7040,OFF (조건미충족),7590,ON (상시감시),OFF (알림전용),10730,ON (상시감시),OFF (알림전용),4604788,2619420,-1985368,-43.12,100.0,⚠️ CHO 유출 (확정 2위 / 45m 자금유출)
확정 8위,234920,자이글,17.0,27.0점,5.0,4.0,4.0,8.0,6.0,73.0,54.6점 (확정),0.0,데이터 대기,0,9314,7517,5310,0.0,5252.2,98.91,5310,0,4510,🆕 신규설정,57,OFF (조건미충족),4510,ON (상시감시),OFF (알림전용),6380,ON (상시감시),OFF (알림전용),70013338,49457340,-20555998,-29.36,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
확정 5위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,49.0,63.0점 (확정),28.0,📈 OBV(9) 매집 유지 (상승),-2139,115,17995,8630,4.23,3260.9,37.79,8630,0,7330,🆕 신규설정,5360,OFF (조건미충족),7330,ON (상시감시),OFF (알림전용),10360,ON (상시감시),OFF (알림전용),2069425,992450,-1076975,-52.04,100.0,🎯 차익실현 + ⚠️ CHO유출 (확정 5위)
확정 1위,267260,HD현대일렉트릭,1.1,92.0점,25.0,20.0,20.0,12.0,15.0,67.0,77.0점 (확정),47.2,📈 OBV(9) 매집 유지 (상승),-833,4,745000,787000,0.64,53869.5,6.84,787000,0,706000,🆕 신규설정,706000,OFF (조건미충족),706000,ON (상시감시),OFF (알림전용),949000,ON (상시감시),OFF (알림전용),2980000,3148000,168000,5.64,100.0,🟢 확정 1위 (안정 보유/홀딩)
잠정 1위,348340,뉴로메카,0.9,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,48.0,38.0점 (잠정·재무검증 필요),47.0,📈 OBV(9) 매집 유지 (상승),-137,124,80329,21500,4.37,17890.5,83.21,21500,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2666000,-7294796,-73.24,75.0,⚠️ DART 재무 미확정 (추매금지/재수집필요)
