순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 3위,013030,하이록코리아,1.0,91.0점,20.0,16.0,20.0,20.0,15.0,66.0,76.0점 (확정),38.6,📈 매집 유지 (상승),-315,90,38945,33800,0.3,2988.1,8.84,34650,29318,29300,유지,29300,OFF (조건미충족),29300,ON (상시감시),OFF (알림전용),42800,ON (상시감시),OFF (알림전용),3505050,3042000,-463050,-13.21,100.0,⚠️ 분량축소 (확정 3위 / 45m 3일 수급약세)
확정 1위,034020,두산에너빌리티,0.7,73.0점,10.0,20.0,16.0,12.0,15.0,85.0,80.2점 (확정),56.1,📈 매집 유지 (상승),-3350,27,74800,81800,1.87,4501.8,5.5,81900,75047,75000,유지,75000,OFF (조건미충족),75000,ON (상시감시),OFF (알림전용),95400,ON (상시감시),OFF (알림전용),2019600,2208600,189000,9.36,100.0,⚠️ 분량축소 (확정 1위 / 45m 3일 수급약세)
확정 6위,047050,포스코인터내셔널,2.8,78.0점,15.0,20.0,16.0,12.0,15.0,59.0,66.6점 (확정),24.8,📉 3일 수급이탈 (데드크로스),3562,158,62806,55000,-1.43,3928.0,7.14,56100,49208,49100,유지,49100,OFF (조건미충족),49100,ON (상시감시),OFF (알림전용),66800,ON (상시감시),OFF (알림전용),9923348,8690000,-1233348,-12.43,100.0,⚠️ 분량축소 (확정 6위 / 45m 3일 수급약세)
확정 9위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,33.0,56.2점 (확정),27.6,📈 매집 유지 (상승),-2730,989,4745,2685,-1.29,619.0,23.05,2720,2299,2280,유지,2065,OFF (조건미충족),2280,ON (상시감시),OFF (알림전용),3225,ON (상시감시),OFF (알림전용),4692805,2655465,-2037340,-43.41,100.0,⚠️ 분량축소 (확정 9위 / 45m 3일 수급약세)
확정 5위,055490,테이팩스,20.3,91.0점,20.0,20.0,16.0,20.0,15.0,52.0,67.6점 (확정),50.7,📈 매집 유지 (상승),-551,4283,23364,14520,2.47,3246.1,22.36,14520,12342,12340,유지,11270,OFF (조건미충족),12340,ON (상시감시),OFF (알림전용),17430,ON (상시감시),OFF (알림전용),100068012,62189160,-37878852,-37.85,100.0,⚠️ 비중과다(20.3%) 집중위험 (추매금지/보유)
확정 10위,140670,알에스오토메이션,1.9,47.0점,5.0,16.0,4.0,16.0,6.0,60.0,54.8점 (확정),34.1,📈 매집 유지 (상승),-1532,531,18899,10890,1.21,2860.6,26.27,10890,9222,9250,⬆️ 상향갱신,8020,OFF (조건미충족),9250,ON (상시감시),OFF (알림전용),13070,ON (상시감시),OFF (알림전용),10035369,5782590,-4252779,-42.38,100.0,⚠️ 분량축소 (확정 10위 / 45m 3일 수급약세)
확정 4위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,55.0,73.0점 (확정),34.1,📈 매집 유지 (상승),1520,293,15716,8970,0.11,1899.0,21.17,9120,7624,7620,유지,7070,OFF (조건미충족),7620,ON (상시감시),OFF (알림전용),10770,ON (상시감시),OFF (알림전용),4604788,2628210,-1976578,-42.92,100.0,🟢 확정 4위 (안정 보유/홀딩)
확정 8위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,49.0,63.0점 (확정),27.3,📈 매집 유지 (상승),-3634,115,17995,8670,4.71,3260.9,37.61,8690,7370,7360,유지,5400,OFF (조건미충족),7360,ON (상시감시),OFF (알림전용),10410,ON (상시감시),OFF (알림전용),2069425,997050,-1072375,-51.82,100.0,⚠️ 분량축소 (확정 8위 / 45m 3일 수급약세)
확정 2위,267260,HD현대일렉트릭,1.0,92.0점,25.0,20.0,20.0,12.0,15.0,67.0,77.0점 (확정),48.0,📈 매집 유지 (상승),163,4,745000,794000,1.53,53869.5,6.78,800000,713196,713000,유지,713000,OFF (조건미충족),713000,ON (상시감시),OFF (알림전용),956000,ON (상시감시),OFF (알림전용),2980000,3176000,196000,6.58,100.0,🟢 확정 2위 (안정 보유/홀딩)
잠정 1위,348340,뉴로메카,0.9,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,52.0,40.4점 (잠정·재무검증 필요),47.9,📈 매집 유지 (상승),143,124,80329,21350,3.64,17890.5,83.8,21550,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2647400,-7313396,-73.42,75.0,⚠️ DART 재무 미확정 (추매금지/재수집필요)
