순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,OBV데드 발생일자,OBV데드 경과일수,일봉 Chaikin 최근2봉,45m Chaikin 최근2봉,ADX +DI/-DI 우세방향,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 2위,004960,한신공영,7.2,71.0점,20.0,16.0,12.0,8.0,15.0,80.0,76.4점 (확정),N/A (정상상승),0일차,"[-8823, -5017]","[7118, 7156]",+DI: 25.7 / -DI: 21.3 (+DI우세),40.1,📉 OBV(9) 데드크로스 (이탈),7156,1871,10962,11140.0,0.72,542.1,4.87,11140,0,10320,🆕 신규설정,10320,OFF (조건미충족),10320,ON (상시감시),OFF (알림전용),12770,ON (상시감시),OFF (알림전용),20509902,20842940,333038,1.62,100.0,🎯 분할매수 (확정 2위 / 45m 단기조정 감지)
확정 4위,055490,테이팩스,21.5,91.0점,20.0,20.0,16.0,20.0,15.0,64.0,74.8점 (확정),N/A (정상상승),0일차,"[-23902, -20601]","[-2773, -3244]",+DI: 34.0 / -DI: 21.1 (+DI우세),46.0,📈 OBV(9) 매집 유지 (상승),-3244,4283,23364,14570.0,-4.21,1180.8,8.1,14570,0,12790,🆕 신규설정,12790,OFF (조건미충족),12790,ON (상시감시),OFF (알림전용),18120,ON (상시감시),OFF (알림전용),100068012,62403310,-37664702,-37.64,100.0,⚠️ 비중과다(21.5%) 집중위험 (추매금지/보유)
확정 6위,140670,알에스오토메이션,1.9,47.0점,5.0,16.0,4.0,16.0,6.0,58.0,53.6점 (확정),2026-08-13,2일차,"[-9670, -5779]","[2246, 2935]",+DI: 29.5 / -DI: 16.4 (+DI우세),23.8,📈 OBV(9) 매집 유지 (상승),2935,531,18899,10650.0,-0.84,1032.0,9.69,10650,0,9100,🆕 신규설정,9100,OFF (조건미충족),9100,ON (상시감시),OFF (알림전용),13750,ON (상시감시),OFF (알림전용),10035369,5655150,-4380219,-43.65,100.0,"🚨 매도 (ADX 방향 불일치, 참고) (45분봉 단기반등 주의) (확정 6위)"
ETF 2위,161510,PLUS 고배당주,2.2,ETF 제외,-,-,-,-,-,76.0,76.0점 (ETF T점수 100%),N/A (정상상승),0일차,"[142513, 154348]","[-9879, -4923]",+DI: 11.4 / -DI: 22.1 (-DI우세),34.7,📈 OBV(9) 매집 유지 (상승),-4923,250,28186,25430.0,1.76,741.4,2.92,25430,0,23900,🆕 신규설정,24300,OFF (조건미충족),23900,ON (상시감시),OFF (알림전용),27700,ON (상시감시),OFF (알림전용),7046500,6357500,-689000,-9.78,100.0,🟢 ETF 2위 (계속 보유/홀딩)
확정 1위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,63.0,77.8점 (확정),2026-08-12,3일차,"[-102102, -95983]","[-9294, -9244]",+DI: 26.7 / -DI: 20.7 (+DI우세),45.4,📈 OBV(9) 매집 유지 (상승),-9244,293,15716,8960.0,1.01,614.8,6.86,8960,0,8030,🆕 신규설정,8030,OFF (조건미충족),8030,ON (상시감시),OFF (알림전용),10810,ON (상시감시),OFF (알림전용),4604788,2625280,-1979508,-42.99,100.0,"🚨 매도 (ADX 방향 불일치, 참고) (일봉+45분봉 이중확인) (확정 1위)"
확정 7위,234920,자이글,17.0,27.0점,5.0,4.0,4.0,8.0,6.0,66.0,50.4점 (확정),N/A (정상상승),0일차,"[0, 0]","[0, 0]",+DI: 0.0 / -DI: 0.0 (+DI우세),0.0,데이터 대기,0,9314,7517,5310.0,0.0,5256.3,98.99,5310,0,4510,🆕 신규설정,0,OFF (조건미충족),4510,ON (상시감시),OFF (알림전용),21100,ON (상시감시),OFF (알림전용),70013338,49457340,-20555998,-29.36,100.0,🟢 확정 7위 (계속 보유/홀딩)
확정 5위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,66.0,73.2점 (확정),N/A (정상상승),0일차,"[-414303, -398165]","[-6072, -6229]",+DI: 25.9 / -DI: 24.0 (+DI우세),28.7,📈 OBV(9) 매집 유지 (상승),-6229,115,17995,8450.0,0.6,970.9,11.49,8450,0,7180,🆕 신규설정,6990,OFF (조건미충족),7180,ON (상시감시),OFF (알림전용),11370,ON (상시감시),OFF (알림전용),2069425,971750,-1097675,-53.04,100.0,🟢 확정 5위 (계속 보유/홀딩)
확정 3위,267260,HD현대일렉트릭,1.1,92.0점,25.0,20.0,20.0,12.0,15.0,64.0,75.2점 (확정),N/A (정상상승),0일차,"[-72603, -67956]","[-6109, -6738]",+DI: 25.7 / -DI: 29.7 (-DI우세),37.2,📉 OBV(9) 데드크로스 (이탈),-6738,4,745000,779000.0,-0.76,61264.0,7.86,779000,0,687000,🆕 신규설정,687000,OFF (조건미충족),687000,ON (상시감시),OFF (알림전용),963000,ON (상시감시),OFF (알림전용),2980000,3116000,136000,4.56,100.0,🟢 확정 3위 (계속 보유/홀딩)
잠정 1위,348340,뉴로메카,1.0,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,66.0,48.8점 (잠정·재무검증 필요),N/A (정상상승),0일차,"[-376965, -380478]","[29204, 32804]",+DI: 36.5 / -DI: 15.0 (+DI우세),49.9,📈 OBV(9) 매집 유지 (상승),32804,124,80329,23850.0,11.45,4584.3,19.22,23850,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2957400,-7003396,-70.31,75.0,⚠️ DART 재무 미확정 (보류)
ETF 1위,490590,RISE 미국AI밸류체인데일리고정커버드콜,46.8,ETF 제외,-,-,-,-,-,80.0,80.0점 (ETF T점수 100%),N/A (정상상승),0일차,"[124173, 192984]","[30690, 29128]",+DI: 42.3 / -DI: 28.9 (+DI우세),39.1,📈 OBV(9) 매집 유지 (상승),29128,9114,16458,14890.0,0.3,408.8,2.75,14890,0,14070,🆕 신규설정,14270,OFF (조건미충족),14070,ON (상시감시),OFF (알림전용),16120,ON (상시감시),OFF (알림전용),149998212,135707460,-14290752,-9.53,100.0,⚠️ 비중과다(46.8%) 집중위험 (추매금지/보유)
